x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-1075,3125,0,0.92251742,-0.13150084,-0.019538362,-0.008629419,-0.011669548,-0.007772454
-1025,3125,0,0.93464655,-0.14901978,-0.016805254,-0.011851767,-0.010193402,-0.009483112
-975,3125,0,0.94958043,-0.16385567,-0.013679502,-0.014203968,-0.008592425,-0.010291929
-925,3125,0,0.96619982,-0.17575067,-0.010416058,-0.015721966,-0.006916836,-0.010548813
-875,3125,0,0.98356289,-0.18455534,-0.007229513,-0.016484402,-0.005146142,-0.01061021
-825,3125,0,1.0009681,-0.19021904,-0.00428198,-0.016595548,-0.003252899,-0.010682482
-775,3125,0,1.0179472,-0.19280896,-0.001679951,-0.016171994,-0.001273923,-0.010764975
-725,3125,0,1.0342078,-0.19254562,0.00052024,-0.015333846,0.000654487,-0.010707393
-675,3125,0,1.0495501,-0.18981794,0.002300911,-0.014197903,0.00232563,-0.010337686
-625,3125,0,1.0638001,-0.18516937,0.003670526,-0.012872625,0.003540401,-0.0095819
-575,3125,0,1.076781,-0.17923121,0.004653367,-0.011454033,0.004194708,-0.00851388
-525,3125,0,1.0883195,-0.1726256,0.005283184,-0.01002056,0.004327627,-0.00731698
-475,3125,0,1.0982866,-0.16587198,0.005598325,-0.008630285,0.004104815,-0.006186656
-425,3125,0,1.1066414,-0.1593239,0.005639429,-0.007320003,0.003748415,-0.005241183
-375,3125,0,1.1134552,-0.15315756,0.00544639,-0.006108091,0.003445178,-0.004480287
-325,3125,0,1.1189027,-0.1474185,0.005057126,-0.004999685,0.003279292,-0.00381864
-275,3125,0,1.1232183,-0.1420995,0.004507345,-0.003993612,0.003215059,-0.003156996
-225,3125,0,1.1266329,-0.13722394,0.003830925,-0.003086436,0.003130575,-0.002451397
-175,3125,0,1.1293175,-0.13289955,0.003060002,-0.002274172,0.002881941,-0.001734703
-125,3125,0,1.131356,-0.12932453,0.002223946,-0.001549068,0.002367301,-0.001084966
-75,3125,0,1.1327519,-0.12674506,0.001348052,-0.000896592,0.001566325,-0.000564849
-25,3125,0,1.133467,-0.1253871,0.000451402,-0.000293118,0.000548884,-0.000170811
25,3125,0,1.1334673,-0.12538758,-0.000451394,0.000293087,-0.000548738,0.000170844
75,3125,0,1.1327517,-0.12674525,-0.00134806,0.000896653,-0.001566135,0.000564687
125,3125,0,1.131356,-0.12932435,-0.002223925,0.001549099,-0.002367285,0.00108493
175,3125,0,1.1293175,-0.13289967,-0.003059995,0.002274192,-0.002881933,0.00173452
225,3125,0,1.1266326,-0.13722423,-0.003830922,0.003086444,-0.003130548,0.002451325
275,3125,0,1.1232183,-0.14209935,-0.004507364,0.003993603,-0.003215093,0.003157025
325,3125,0,1.1189029,-0.14741826,-0.005057122,0.004999675,-0.003279225,0.003818436
375,3125,0,1.1134551,-0.15315779,-0.005446373,0.006108111,-0.003445132,0.004480239
425,3125,0,1.1066412,-0.15932383,-0.005639405,0.007319952,-0.003748532,0.005241151
475,3125,0,1.0982869,-0.16587223,-0.005598306,0.008630267,-0.004104825,0.006186835
525,3125,0,1.0883195,-0.17262526,-0.005283158,0.010020539,-0.004327606,0.007316777
575,3125,0,1.0767813,-0.17923158,-0.004653389,0.011454035,-0.004194813,0.008513972
625,3125,0,1.0638001,-0.18516983,-0.003670516,0.012872659,-0.003540315,0.009581808
675,3125,0,1.0495498,-0.18981782,-0.002300875,0.014197893,-0.002325627,0.010337723
725,3125,0,1.0342078,-0.19254513,-0.000520262,0.015333837,-0.000654635,0.010707397
775,3125,0,1.0179472,-0.19280913,0.001679981,0.016172046,0.001273913,0.010764953
825,3125,0,1.0009677,-0.19021896,0.004282011,0.016595516,0.003252831,0.010682443
875,3125,0,0.98356247,-0.18455541,0.007229484,0.016484443,0.005146179,0.010610304
925,3125,0,0.96619987,-0.17575055,0.010416048,0.015721997,0.006916771,0.010548791
975,3125,0,0.94958031,-0.16385597,0.013679544,0.01420395,0.008592438,0.010292083
1025,3125,0,0.93464625,-0.14902011,0.016805246,0.011851773,0.010193288,0.009483175
1075,3125,0,0.9225173,-0.13150045,0.019538349,0.008629397,0.011669441,0.007772533
1125,3125,0,0.9143517,-0.11171264,0.021602588,0.004563964,0.012886675,0.004999886
1175,3125,0,0.91116953,-0.09028583,0.022722006,-0.00023327,0.013668012,0.001309444
1225,3125,0,0.91366005,-0.068113327,0.022643965,-0.005548271,0.013860298,-0.002865257
1275,3125,0,0.92203552,-0.046365164,0.021165166,-0.01105506,0.013376826,-0.00694435
1325,3125,0,0.93595541,-0.026441481,0.018163199,-0.016322844,0.012191033,-0.010396855
1375,3125,0,0.95453405,-0.009872797,0.013634477,-0.020843934,0.010284909,-0.012894716
1425,3125,0,0.97642171,0.001828511,0.007733386,-0.02408519,0.007605392,-0.014348133
1475,3125,0,0.9999299,0.007349499,0.000801364,-0.025555544,0.004077833,-0.014823074
1525,3125,0,1.0231678,0.005783242,-0.006625548,-0.024882553,-0.000303105,-0.014403554
1575,3125,0,1.0441842,-0.003169704,-0.013844566,-0.021884335,-0.005339142,-0.013091564
1625,3125,0,1.0611068,-0.019024227,-0.020050023,-0.016627938,-0.010536464,-0.010808621
1675,3125,0,1.0723078,-0.040410571,-0.024431668,-0.009463722,-0.01512181,-0.007499235
1725,3125,0,1.0765955,-0.065101579,-0.026295401,-0.001030614,-0.018204631,-0.003266542
1775,3125,0,1.0734286,-0.090196736,-0.025188077,0.007776375,-0.019027662,0.001543855
1825,3125,0,1.0630999,-0.11248094,-0.021008953,0.01588453,-0.017210061,0.006367814
1875,3125,0,1.0468385,-0.12891173,-0.014084528,0.022171415,-0.012879112,0.010543377
1925,3125,0,1.0267586,-0.13714941,-0.005185865,0.025635704,-0.006644163,0.013467163
1975,3125,0,1.0056323,-0.13601215,0.004529072,0.025589231,0.000559739,0.014712229
2025,3125,0,0.98649538,-0.12575498,0.013654066,0.021831792,0.007671371,0.014073335
2075,3125,0,0.97216225,-0.10809734,0.020745382,0.014760613,0.013670372,0.011559971
2125,3125,0,0.964728,-0.085984513,0.024575332,0.005377887,0.017675173,0.007387867
2175,3125,0,0.96516854,-0.063124053,0.02438328,-0.004828166,0.019005604,0.002005634
2225,3125,0,0.97311854,-0.043374524,0.020069972,-0.01411763,0.017264174,-0.003861929
2275,3125,0,0.98687536,-0.030084496,0.012285553,-0.020812303,0.012466162,-0.009222761
