#
#"Wavelength / nm"	"Eps' (Fit) [Real Part]"
#------------------------------------------
446.08171198305	2.0427999496460
446.38069133881	2.0426833629608
446.68007173592	2.0425674915314
446.97985398184	2.0424523353577
446.98724246729	2.0424494743347
447.28003888620	2.0423378944397
447.58062726080	2.0422244071960
447.88165980245	2.0421116352081
448.18305761538	2.0419995784760
448.48486134719	2.0418884754181
448.78707181848	2.0417780876160
449.08968985204	2.0416686534882
449.39271627289	2.0415596961975
449.69615190826	2.0414519309998
449.99999758764	2.0413446426392
450.30425414276	2.0412383079529
450.60892240759	2.0411326885223
450.91400321836	2.0410280227661
451.14353018815	2.0409498214722
451.21949741357	2.0409240722656
451.52540583400	2.0408208370209
451.83176991212	2.0407183170319
452.13850936956	2.0406167507172
452.44566558837	2.0405158996582
452.75323941849	2.0404157638550
453.06123171219	2.0403165817261
453.36964332404	2.0402181148529
