x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
825,2975,0,1.0822217,0.077188909,-0.010019947,-0.009266664,-0.010033602,-0.010204161
875,2975,0,1.0907519,0.064245284,-0.01144413,-0.008319283,-0.011205134,-0.009608905
925,2975,0,1.0979096,0.050199278,-0.012781042,-0.007053037,-0.01222707,-0.008636595
975,2975,0,1.1033089,0.035241622,-0.013952542,-0.005464397,-0.013113412,-0.007258822
1025,2975,0,1.1065757,0.019596472,-0.014875863,-0.003566027,-0.013886996,-0.005474061
1075,2975,0,1.1073864,0.00353654,-0.015469694,-0.001391105,-0.014558621,-0.003308713
1125,2975,0,1.1054971,-0.012610379,-0.015660172,0.00100409,-0.015109507,-0.000817196
1175,2975,0,1.1007783,-0.028450511,-0.015387208,0.003538492,-0.015478405,0.001920183
1225,2975,0,1.0932429,-0.04352475,-0.014609944,0.006107962,-0.015560264,0.00479689
1275,2975,0,1.0830603,-0.057318673,-0.013310868,0.008590345,-0.015219728,0.007682711
1325,2975,0,1.0705593,-0.069286898,-0.01149926,0.010852577,-0.014313675,0.010427663
1375,2975,0,1.0562184,-0.078888133,-0.009213507,0.012759856,-0.012722732,0.012869403
1425,2975,0,1.0406415,-0.085629389,-0.006522553,0.014186239,-0.010380896,0.014844261
1475,2975,0,1.0245262,-0.08911252,-0.003525863,0.015024453,-0.007300196,0.016201846
1525,2975,0,1.0086201,-0.089083299,-0.00035217,0.015194817,-0.003582119,0.016818734
1575,2975,0,0.99368274,-0.085475922,0.002844683,0.014653238,0.000584216,0.016610755
1625,2975,0,0.98043716,-0.07843563,0.005892634,0.013395715,0.004936007,0.015541878
1675,2975,0,0.96953034,-0.068343714,0.008611983,0.011463463,0.009160282,0.013625652
1725,2975,0,0.96149004,-0.055801045,0.010828217,0.008942736,0.012921426,0.010926452
1775,2975,0,0.95669031,-0.041609272,0.012388198,0.005963906,0.015890274,0.007558316
1825,2975,0,0.95531774,-0.026719082,0.013174869,0.002696161,0.017771583,0.003685475
1875,2975,0,0.95735252,-0.012163477,0.013120838,-0.000661397,0.018331911,-0.000475736
1925,2975,0,0.96254742,0.00101925,0.012216967,-0.003892064,0.017426968,-0.004655119
1975,2975,0,0.97043461,0.011873702,0.010516505,-0.006776836,0.015026972,-0.008533442
2025,2975,0,0.98033804,0.019614365,0.008132073,-0.009111418,0.011243558,-0.011758162
2075,2975,0,0.99141598,0.023697266,0.005228876,-0.010722544,0.006342428,-0.013975978
2125,2975,0,1.0027139,0.02388205,0.002013637,-0.011482777,0.000743962,-0.01488051
2175,2975,0,1.013245,0.020265669,-0.001278336,-0.011322625,-0.005000964,-0.014270935
2225,2975,0,1.022074,0.013286155,-0.004396184,-0.010238802,-0.010262797,-0.01210719
2275,2975,0,1.0284164,0.003696881,-0.007088689,-0.008299502,-0.014409182,-0.008553058
2325,2975,0,1.031724,-0.007494968,-0.009119758,-0.005645861,-0.016897477,-0.003986271
