Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(???  )[dB(nm^2)],Phase(???  )[deg.],Abs(???  )[dB(nm^2)],Phase(???  )[deg.],Ax.Ratio[dB    ]
132.5,0,48.77,48.77,0,48.77,0,-200.00
133,0,49.21,49.21,0,49.21,0,-200.00
133.5,0,48.81,48.81,0,48.81,0,-200.00
134,0,47.44,47.44,0,47.44,0,-200.00
134.5,0,44.71,44.71,0,44.71,0,-200.00
135,0,39.47,39.47,0,39.47,0,-200.00
135.5,0,29.41,29.41,0,29.41,0,-200.00
136,0,38.41,38.41,0,38.41,0,-200.00
136.5,0,43.43,43.43,0,43.43,0,-200.00
137,0,45.87,45.87,0,45.87,0,-200.00
137.5,0,47.03,47.03,0,47.03,0,-200.00
138,0,47.41,47.41,0,47.41,0,-200.00
138.5,0,47.18,47.18,0,47.18,0,-200.00
139,0,46.42,46.42,0,46.42,0,-200.00
139.5,0,45.11,45.11,0,45.11,0,-200.00
140,0,43.41,43.41,0,43.41,0,-200.00
140.5,0,42.16,42.16,0,42.16,0,-200.00
141,0,42.81,42.81,0,42.81,0,-200.00
141.5,0,44.75,44.75,0,44.75,0,-200.00
142,0,46.52,46.52,0,46.52,0,-200.00
142.5,0,47.65,47.65,0,47.65,0,-200.00
143,0,48.10,48.10,0,48.10,0,-200.00
143.5,0,47.87,47.87,0,47.87,0,-200.00
144,0,46.90,46.90,0,46.90,0,-200.00
144.5,0,45.00,45.00,0,45.00,0,-200.00
145,0,41.54,41.54,0,41.54,0,-200.00
145.5,0,33.95,33.95,0,33.95,0,-200.00
146,0,28.35,28.35,0,28.35,0,-200.00
146.5,0,40.16,40.16,0,40.16,0,-200.00
147,0,44.59,44.59,0,44.59,0,-200.00
147.5,0,46.91,46.91,0,46.91,0,-200.00
148,0,48.02,48.02,0,48.02,0,-200.00
148.5,0,48.23,48.23,0,48.23,0,-200.00
149,0,47.71,47.71,0,47.71,0,-200.00
149.5,0,46.57,46.57,0,46.57,0,-200.00
150,0,44.97,44.97,0,44.97,0,-200.00
150.5,0,43.07,43.07,0,43.07,0,-200.00
151,0,41.06,41.06,0,41.06,0,-200.00
151.5,0,39.76,39.76,0,39.76,0,-200.00
152,0,40.93,40.93,0,40.93,0,-200.00
152.5,0,43.77,43.77,0,43.77,0,-200.00
153,0,46.32,46.32,0,46.32,0,-200.00
153.5,0,48.01,48.01,0,48.01,0,-200.00
154,0,48.82,48.82,0,48.82,0,-200.00
154.5,0,48.79,48.79,0,48.79,0,-200.00
155,0,47.91,47.91,0,47.91,0,-200.00
155.5,0,46.15,46.15,0,46.15,0,-200.00
156,0,43.45,43.45,0,43.45,0,-200.00
156.5,0,39.81,39.81,0,39.81,0,-200.00
157,0,35.55,35.55,0,35.55,0,-200.00
157.5,0,32.23,32.23,0,32.23,0,-200.00
158,0,32.09,32.09,0,32.09,0,-200.00
158.5,0,34.66,34.66,0,34.66,0,-200.00
159,0,37.72,37.72,0,37.72,0,-200.00
159.5,0,40.07,40.07,0,40.07,0,-200.00
160,0,41.48,41.48,0,41.48,0,-200.00
160.5,0,41.98,41.98,0,41.98,0,-200.00
161,0,41.62,41.62,0,41.62,0,-200.00
161.5,0,40.42,40.42,0,40.42,0,-200.00
162,0,38.35,38.35,0,38.35,0,-200.00
162.5,0,35.39,35.39,0,35.39,0,-200.00
163,0,32.34,32.34,0,32.34,0,-200.00
163.5,0,33.20,33.20,0,33.20,0,-200.00
164,0,37.16,37.16,0,37.16,0,-200.00
164.5,0,40.72,40.72,0,40.72,0,-200.00
165,0,43.45,43.45,0,43.45,0,-200.00
165.5,0,45.45,45.45,0,45.45,0,-200.00
166,0,46.79,46.79,0,46.79,0,-200.00
166.5,0,47.56,47.56,0,47.56,0,-200.00
167,0,47.82,47.82,0,47.82,0,-200.00
167.5,0,47.66,47.66,0,47.66,0,-200.00
168,0,47.21,47.21,0,47.21,0,-200.00
168.5,0,46.63,46.63,0,46.63,0,-200.00
169,0,46.10,46.10,0,46.10,0,-200.00
169.5,0,45.86,45.86,0,45.86,0,-200.00
170,0,46.14,46.14,0,46.14,0,-200.00
170.5,0,47.08,47.08,0,47.08,0,-200.00
171,0,48.47,48.47,0,48.47,0,-200.00
171.5,0,49.89,49.89,0,49.89,0,-200.00
172,0,50.99,50.99,0,50.99,0,-200.00
172.5,0,51.58,51.58,0,51.58,0,-200.00
173,0,51.53,51.53,0,51.53,0,-200.00
173.5,0,50.74,50.74,0,50.74,0,-200.00
174,0,49.05,49.05,0,49.05,0,-200.00
174.5,0,46.15,46.15,0,46.15,0,-200.00
175,0,41.31,41.31,0,41.31,0,-200.00
175.5,0,31.74,31.74,0,31.74,0,-200.00
176,0,25.52,25.52,0,25.52,0,-200.00
176.5,0,32.51,32.51,0,32.51,0,-200.00
177,0,31.35,31.35,0,31.35,0,-200.00
177.5,0,33.64,33.64,0,33.64,0,-200.00
178,0,40.90,40.90,0,40.90,0,-200.00
178.5,0,45.56,45.56,0,45.56,0,-200.00
179,0,48.37,48.37,0,48.37,0,-200.00
179.5,0,49.91,49.91,0,49.91,0,-200.00
180,0,50.40,50.40,0,50.40,0,-200.00
179.5,180,49.91,49.91,0,49.91,0,-200.00
179,180,48.37,48.37,0,48.37,0,-200.00
178.5,180,45.56,45.56,0,45.56,0,-200.00
178,180,40.90,40.90,0,40.90,0,-200.00
177.5,180,33.64,33.64,0,33.64,0,-200.00
177,180,31.35,31.35,0,31.35,0,-200.00
176.5,180,32.51,32.51,0,32.51,0,-200.00
176,180,25.52,25.52,0,25.52,0,-200.00
175.5,180,31.74,31.74,0,31.74,0,-200.00
175,180,41.31,41.31,0,41.31,0,-200.00
174.5,180,46.15,46.15,0,46.15,0,-200.00
174,180,49.05,49.05,0,49.05,0,-200.00
173.5,180,50.74,50.74,0,50.74,0,-200.00
173,180,51.53,51.53,0,51.53,0,-200.00
172.5,180,51.58,51.58,0,51.58,0,-200.00
172,180,50.99,50.99,0,50.99,0,-200.00
171.5,180,49.89,49.89,0,49.89,0,-200.00
171,180,48.47,48.47,0,48.47,0,-200.00
170.5,180,47.08,47.08,0,47.08,0,-200.00
170,180,46.14,46.14,0,46.14,0,-200.00
169.5,180,45.86,45.86,0,45.86,0,-200.00
169,180,46.10,46.10,0,46.10,0,-200.00
168.5,180,46.63,46.63,0,46.63,0,-200.00
168,180,47.21,47.21,0,47.21,0,-200.00
167.5,180,47.66,47.66,0,47.66,0,-200.00
167,180,47.82,47.82,0,47.82,0,-200.00
166.5,180,47.56,47.56,0,47.56,0,-200.00
166,180,46.79,46.79,0,46.79,0,-200.00
165.5,180,45.45,45.45,0,45.45,0,-200.00
165,180,43.45,43.45,0,43.45,0,-200.00
164.5,180,40.72,40.72,0,40.72,0,-200.00
164,180,37.16,37.16,0,37.16,0,-200.00
163.5,180,33.20,33.20,0,33.20,0,-200.00
163,180,32.34,32.34,0,32.34,0,-200.00
162.5,180,35.39,35.39,0,35.39,0,-200.00
162,180,38.35,38.35,0,38.35,0,-200.00
161.5,180,40.42,40.42,0,40.42,0,-200.00
161,180,41.62,41.62,0,41.62,0,-200.00
160.5,180,41.98,41.98,0,41.98,0,-200.00
160,180,41.48,41.48,0,41.48,0,-200.00
159.5,180,40.07,40.07,0,40.07,0,-200.00
159,180,37.72,37.72,0,37.72,0,-200.00
158.5,180,34.66,34.66,0,34.66,0,-200.00
158,180,32.09,32.09,0,32.09,0,-200.00
157.5,180,32.23,32.23,0,32.23,0,-200.00
157,180,35.55,35.55,0,35.55,0,-200.00
156.5,180,39.81,39.81,0,39.81,0,-200.00
156,180,43.45,43.45,0,43.45,0,-200.00
155.5,180,46.15,46.15,0,46.15,0,-200.00
155,180,47.91,47.91,0,47.91,0,-200.00
154.5,180,48.79,48.79,0,48.79,0,-200.00
154,180,48.82,48.82,0,48.82,0,-200.00
153.5,180,48.01,48.01,0,48.01,0,-200.00
153,180,46.32,46.32,0,46.32,0,-200.00
152.5,180,43.77,43.77,0,43.77,0,-200.00
152,180,40.93,40.93,0,40.93,0,-200.00
151.5,180,39.76,39.76,0,39.76,0,-200.00
151,180,41.06,41.06,0,41.06,0,-200.00
150.5,180,43.07,43.07,0,43.07,0,-200.00
150,180,44.97,44.97,0,44.97,0,-200.00
149.5,180,46.57,46.57,0,46.57,0,-200.00
149,180,47.71,47.71,0,47.71,0,-200.00
148.5,180,48.23,48.23,0,48.23,0,-200.00
148,180,48.02,48.02,0,48.02,0,-200.00
147.5,180,46.91,46.91,0,46.91,0,-200.00
147,180,44.59,44.59,0,44.59,0,-200.00
