Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
156,0,4.88E+01,4.88E+01,282.617,-4.91E+01,21,4.00E+01
159,0,4.65E+01,4.65E+01,259.043,-4.85E+01,6.288,4.00E+01
162,0,4.01E+01,4.01E+01,256.161,-5.71E+01,100.271,4.00E+01
165,0,4.59E+01,4.59E+01,299.449,-4.76E+01,98.996,4.00E+01
168,0,4.69E+01,4.69E+01,336.423,-4.96E+01,108.22,4.00E+01
171,0,5.18E+01,5.18E+01,60.865,-4.77E+01,171.591,4.00E+01
174,0,5.31E+01,5.31E+01,104.825,-4.69E+01,200.84,4.00E+01
177,0,4.91E+01,4.91E+01,189.046,-4.97E+01,229.276,4.00E+01
180,0,5.30E+01,5.30E+01,236.999,-8.46E+01,300.128,4.00E+01
0,3,1.09E+02,1.09E+02,93.258,8.33E+01,273.258,4.00E+01
3,3,1.04E+02,1.04E+02,81.806,7.81E+01,262.052,4.00E+01
6,3,9.41E+01,9.40E+01,328.554,6.84E+01,147.773,4.00E+01
9,3,9.08E+01,9.08E+01,262.42,6.51E+01,83.197,4.00E+01
12,3,8.82E+01,8.82E+01,135.082,6.26E+01,314.705,4.00E+01
15,3,8.02E+01,8.02E+01,30.118,5.41E+01,209.063,4.00E+01
18,3,8.11E+01,8.11E+01,293.419,5.55E+01,114.737,4.00E+01
21,3,7.81E+01,7.81E+01,151.862,5.26E+01,329.74,4.00E+01
24,3,7.10E+01,7.10E+01,57.785,4.43E+01,237.842,4.00E+01
27,3,7.41E+01,7.41E+01,302.043,4.88E+01,123.285,4.00E+01
30,3,7.05E+01,7.05E+01,152.911,4.54E+01,327.755,4.00E+01
33,3,6.51E+01,6.51E+01,66.722,3.82E+01,251.195,4.00E+01
36,3,6.96E+01,6.96E+01,298.727,4.46E+01,119.547,4.00E+01
39,3,6.57E+01,6.57E+01,156.033,4.05E+01,325.549,4.00E+01
42,3,6.33E+01,6.32E+01,77.929,3.70E+01,264.495,4.00E+01
45,3,6.55E+01,6.55E+01,296.955,4.13E+01,114.057,4.00E+01
48,3,6.03E+01,6.02E+01,163.107,3.47E+01,324.42,3.55E+01
51,3,6.17E+01,6.17E+01,78.018,3.68E+01,263.76,4.00E+01
54,3,6.20E+01,6.20E+01,292.795,3.86E+01,103.625,3.94E+01
57,3,5.70E+01,5.70E+01,187.127,2.91E+01,354.449,4.00E+01
60,3,6.04E+01,6.04E+01,73.972,3.72E+01,254.488,4.00E+01
63,3,5.80E+01,5.79E+01,299.895,3.46E+01,97.438,3.17E+01
66,3,5.71E+01,5.71E+01,204.529,3.24E+01,33.034,4.00E+01
69,3,5.81E+01,5.80E+01,75.505,3.64E+01,244.085,3.58E+01
72,3,5.51E+01,5.51E+01,324.7,2.85E+01,130.644,3.90E+01
75,3,5.65E+01,5.64E+01,213.17,3.56E+01,32.357,4.00E+01
78,3,5.45E+01,5.45E+01,93.264,3.15E+01,247.291,3.02E+01
81,3,5.42E+01,5.41E+01,346.657,3.32E+01,178.904,3.44E+01
84,3,5.31E+01,5.30E+01,230.009,3.30E+01,29.241,2.91E+01
87,3,5.19E+01,5.19E+01,117.908,3.00E+01,322.899,2.95E+01
90,3,5.02E+01,5.01E+01,6.357,3.27E+01,178.065,3.44E+01
93,3,4.96E+01,4.96E+01,247.854,2.57E+01,111.001,2.72E+01
96,3,4.61E+01,4.60E+01,132.4,3.05E+01,328.567,2.68E+01
99,3,4.78E+01,4.78E+01,13.614,1.86E+01,284.337,2.93E+01
102,3,4.33E+01,4.32E+01,241.315,2.59E+01,113.717,1.94E+01
105,3,4.76E+01,4.76E+01,144.057,1.94E+01,166.294,3.67E+01
108,3,4.26E+01,4.25E+01,2.494,1.94E+01,212.245,2.93E+01
111,3,4.71E+01,4.70E+01,288.067,2.48E+01,347.597,2.35E+01
114,3,3.69E+01,3.66E+01,122.609,2.53E+01,318.542,2.31E+01
117,3,4.39E+01,4.38E+01,67.033,2.46E+01,157.933,1.92E+01
120,3,3.97E+01,3.94E+01,175.752,2.78E+01,114.402,1.29E+01
123,3,4.32E+01,4.32E+01,157.476,1.27E+01,340.461,4.00E+01
126,3,4.29E+01,4.28E+01,330.279,2.38E+01,264.236,1.99E+01
129,3,4.91E+01,4.91E+01,296.057,2.04E+01,311.989,4.00E+01
132,3,3.57E+01,3.54E+01,251.894,2.32E+01,323.175,1.27E+01
135,3,4.36E+01,4.36E+01,74.219,1.62E+01,163.897,2.73E+01
138,3,4.28E+01,4.27E+01,89.283,2.68E+01,107.706,2.62E+01
141,3,4.73E+01,4.73E+01,122.786,2.24E+01,73.102,2.73E+01
144,3,4.39E+01,4.39E+01,112.877,1.59E+01,182.34,2.85E+01
147,3,3.99E+01,3.98E+01,277.237,1.65E+01,172.377,2.37E+01
150,3,4.44E+01,4.44E+01,268.75,2.06E+01,320.345,2.59E+01
153,3,4.50E+01,4.49E+01,274.426,2.48E+01,274.032,4.00E+01
156,3,4.88E+01,4.88E+01,282.521,2.28E+01,248.118,3.10E+01
159,3,4.65E+01,4.65E+01,259.929,2.02E+01,294.583,3.12E+01
162,3,4.02E+01,4.01E+01,256.108,2.03E+01,286.591,2.58E+01
165,3,4.59E+01,4.59E+01,298.976,1.79E+01,237.805,2.92E+01
168,3,4.69E+01,4.69E+01,336.489,2.15E+01,345.672,4.00E+01
171,3,5.18E+01,5.18E+01,60.881,2.70E+01,37.577,3.28E+01
174,3,5.31E+01,5.31E+01,104.764,2.93E+01,113.43,4.00E+01
177,3,4.91E+01,4.91E+01,189.046,2.69E+01,172.489,3.32E+01
180,3,5.30E+01,5.30E+01,236.999,2.73E+01,236.999,4.00E+01
0,6,1.09E+02,1.09E+02,93.258,8.93E+01,273.258,4.00E+01
3,6,1.04E+02,1.04E+02,81.811,8.41E+01,262.056,4.00E+01
6,6,9.40E+01,9.40E+01,328.506,7.44E+01,147.724,4.00E+01
9,6,9.08E+01,9.08E+01,262.478,7.11E+01,83.255,4.00E+01
12,6,8.82E+01,8.81E+01,134.934,6.86E+01,314.557,4.00E+01
15,6,8.01E+01,8.01E+01,30.292,6.01E+01,209.237,4.00E+01
18,6,8.11E+01,8.11E+01,293.336,6.15E+01,114.661,4.00E+01
21,6,7.81E+01,7.80E+01,151.603,5.86E+01,329.491,4.00E+01
24,6,7.10E+01,7.10E+01,57.308,5.04E+01,237.389,4.00E+01
27,6,7.42E+01,7.41E+01,302.003,5.48E+01,123.271,4.00E+01
30,6,7.07E+01,7.06E+01,153.626,5.15E+01,328.419,4.00E+01
33,6,6.53E+01,6.52E+01,68.197,4.44E+01,252.425,4.00E+01
36,6,6.95E+01,6.94E+01,299.494,5.05E+01,120.159,4.00E+01
39,6,6.55E+01,6.55E+01,154.925,4.64E+01,324.571,3.41E+01
42,6,6.32E+01,6.32E+01,76.314,4.29E+01,263.335,3.86E+01
45,6,6.57E+01,6.56E+01,297.436,4.74E+01,114.366,4.00E+01
48,6,6.01E+01,6.00E+01,163.827,4.05E+01,324.493,2.92E+01
51,6,6.17E+01,6.16E+01,77.416,4.28E+01,263.385,3.86E+01
54,6,6.20E+01,6.20E+01,293.184,4.46E+01,103.732,3.32E+01
57,6,5.70E+01,5.70E+01,186.592,3.51E+01,353.966,3.52E+01
60,6,6.05E+01,6.04E+01,74.433,4.33E+01,254.617,4.00E+01
63,6,5.80E+01,5.79E+01,299.311,4.06E+01,97.7,2.61E+01
66,6,5.71E+01,5.70E+01,205.252,3.83E+01,33.292,3.59E+01
69,6,5.81E+01,5.80E+01,75.168,4.25E+01,243.709,2.98E+01
72,6,5.51E+01,5.50E+01,324.97,3.45E+01,130.852,3.28E+01
75,6,5.66E+01,5.64E+01,212.988,4.16E+01,32.602,4.00E+01
78,6,5.45E+01,5.44E+01,93.32,3.75E+01,246.758,2.40E+01
81,6,5.43E+01,5.41E+01,346.786,3.92E+01,178.748,2.88E+01
84,6,5.32E+01,5.30E+01,229.782,3.91E+01,29.15,2.33E+01
87,6,5.20E+01,5.19E+01,118.026,3.60E+01,323.134,2.35E+01
90,6,5.05E+01,5.02E+01,6.348,3.87E+01,178.113,2.89E+01
93,6,4.96E+01,4.96E+01,247.56,3.18E+01,110.891,2.11E+01
96,6,4.64E+01,4.59E+01,132.506,3.67E+01,328.988,2.11E+01
99,6,4.79E+01,4.79E+01,13.341,2.48E+01,284.992,2.31E+01
102,6,4.36E+01,4.33E+01,240.498,3.20E+01,115.321,1.32E+01
105,6,4.77E+01,4.77E+01,143.902,2.57E+01,165.449,3.07E+01
108,6,4.27E+01,4.26E+01,3.038,2.52E+01,214.502,2.32E+01
111,6,4.72E+01,4.71E+01,288.702,3.12E+01,346.375,1.75E+01
114,6,3.74E+01,3.61E+01,123.823,3.14E+01,318.668,1.89E+01
117,6,4.37E+01,4.34E+01,69.031,3.07E+01,156.863,1.27E+01
120,6,4.09E+01,3.99E+01,176.705,3.39E+01,113.732,7.60E+00
123,6,4.38E+01,4.37E+01,158.519,1.85E+01,340.354,4.00E+01
126,6,4.25E+01,4.23E+01,330.474,2.98E+01,263.237,1.33E+01
129,6,4.88E+01,4.88E+01,294.506,2.59E+01,311.188,3.38E+01
132,6,3.64E+01,3.55E+01,245.742,2.91E+01,323.553,6.73E+00
135,6,4.33E+01,4.32E+01,77.33,2.24E+01,165.743,2.08E+01
138,6,4.27E+01,4.23E+01,91.012,3.26E+01,108.789,2.07E+01
141,6,4.71E+01,4.70E+01,123.121,2.83E+01,73.853,2.12E+01
144,6,4.38E+01,4.38E+01,112.414,2.20E+01,181.196,2.24E+01
147,6,3.94E+01,3.94E+01,277.301,2.24E+01,170.532,1.73E+01
150,6,4.44E+01,4.44E+01,264.734,2.64E+01,318.123,1.99E+01
153,6,4.51E+01,4.49E+01,274.782,3.09E+01,274.03,4.00E+01
156,6,4.88E+01,4.88E+01,282.343,2.88E+01,247.454,2.49E+01
159,6,4.64E+01,4.63E+01,262.369,2.62E+01,297.198,2.50E+01
162,6,4.03E+01,4.01E+01,255.737,2.63E+01,286.872,1.99E+01
165,6,4.58E+01,4.58E+01,297.656,2.41E+01,237.033,2.30E+01
168,6,4.70E+01,4.69E+01,336.687,2.76E+01,345.636,3.56E+01
171,6,5.18E+01,5.17E+01,60.93,3.30E+01,37.608,2.68E+01
174,6,5.31E+01,5.31E+01,104.585,3.53E+01,113.302,3.43E+01
177,6,4.92E+01,4.91E+01,189.047,3.29E+01,172.476,2.73E+01
180,6,5.30E+01,5.29E+01,236.999,3.34E+01,236.999,4.00E+01
0,9,1.09E+02,1.09E+02,93.258,9.28E+01,273.258,4.00E+01
3,9,1.04E+02,1.04E+02,81.819,8.76E+01,262.064,4.00E+01
6,9,9.40E+01,9.39E+01,328.429,7.79E+01,147.645,4.00E+01
9,9,9.08E+01,9.07E+01,262.56,7.46E+01,83.338,4.00E+01
12,9,8.81E+01,8.80E+01,134.691,7.20E+01,314.316,4.00E+01
15,9,8.00E+01,7.99E+01,30.533,6.34E+01,209.477,4.00E+01
18,9,8.11E+01,8.10E+01,293.164,6.50E+01,114.501,4.00E+01
21,9,7.81E+01,7.80E+01,151.235,6.21E+01,329.139,4.00E+01
24,9,7.10E+01,7.09E+01,56.701,5.39E+01,236.822,4.00E+01
27,9,7.43E+01,7.42E+01,301.956,5.84E+01,123.255,4.00E+01
30,9,7.09E+01,7.08E+01,154.426,5.51E+01,329.157,3.66E+01
33,9,6.55E+01,6.54E+01,69.722,4.81E+01,253.694,4.00E+01
36,9,6.94E+01,6.92E+01,300.488,5.40E+01,120.936,4.00E+01
39,9,6.53E+01,6.52E+01,154.33,4.98E+01,323.975,3.06E+01
42,9,6.31E+01,6.30E+01,75.284,4.63E+01,262.706,3.46E+01
45,9,6.58E+01,6.57E+01,297.3,5.10E+01,114.31,4.00E+01
48,9,6.00E+01,5.99E+01,164.616,4.39E+01,324.832,2.56E+01
51,9,6.16E+01,6.15E+01,77.335,4.63E+01,263.361,3.51E+01
54,9,6.21E+01,6.19E+01,293.346,4.81E+01,103.729,2.97E+01
57,9,5.70E+01,5.69E+01,186.415,3.86E+01,354.043,3.18E+01
60,9,6.05E+01,6.03E+01,74.802,4.68E+01,254.863,4.00E+01
63,9,5.80E+01,5.78E+01,299.04,4.41E+01,97.515,2.28E+01
66,9,5.71E+01,5.69E+01,205.497,4.18E+01,33.182,3.29E+01
69,9,5.82E+01,5.80E+01,75.016,4.60E+01,243.678,2.66E+01
72,9,5.50E+01,5.49E+01,325.125,3.80E+01,130.836,2.92E+01
75,9,5.67E+01,5.64E+01,213.012,4.51E+01,32.689,4.00E+01
78,9,5.45E+01,5.43E+01,93.253,4.10E+01,246.5,2.06E+01
81,9,5.44E+01,5.41E+01,346.867,4.28E+01,178.801,2.56E+01
84,9,5.33E+01,5.29E+01,229.798,4.26E+01,29.095,2.00E+01
87,9,5.20E+01,5.18E+01,118.129,3.96E+01,323.18,2.01E+01
90,9,5.07E+01,5.01E+01,6.353,4.22E+01,178.191,2.61E+01
93,9,4.96E+01,4.95E+01,247.646,3.54E+01,111.086,1.75E+01
96,9,4.69E+01,4.59E+01,132.455,4.02E+01,329.237,1.84E+01
99,9,4.78E+01,4.78E+01,13.315,2.85E+01,285.184,1.93E+01
102,9,4.39E+01,4.32E+01,240.658,3.56E+01,116.297,9.82E+00
105,9,4.77E+01,4.76E+01,144.157,2.95E+01,164.758,2.73E+01
108,9,4.27E+01,4.25E+01,2.799,2.84E+01,215.201,1.98E+01
111,9,4.73E+01,4.71E+01,288.638,3.48E+01,346.229,1.39E+01
114,9,3.86E+01,3.61E+01,124.868,3.49E+01,318.718,1.84E+01
117,9,4.39E+01,4.34E+01,69.461,3.44E+01,156.111,9.04E+00
120,9,4.18E+01,3.99E+01,175.695,3.74E+01,113.554,5.07E+00
123,9,4.38E+01,4.37E+01,157.297,2.23E+01,340.328,4.00E+01
126,9,4.26E+01,4.21E+01,332.236,3.32E+01,262.845,9.57E+00
129,9,4.87E+01,4.86E+01,294.563,2.91E+01,311.236,3.05E+01
132,9,3.71E+01,3.53E+01,243.049,3.25E+01,324.353,3.06E+00
135,9,4.32E+01,4.31E+01,79.86,2.60E+01,166.489,1.71E+01
138,9,4.29E+01,4.19E+01,92.83,3.61E+01,109.782,1.84E+01
141,9,4.69E+01,4.67E+01,123.762,3.17E+01,74.747,1.76E+01
144,9,4.37E+01,4.36E+01,111.33,2.54E+01,180.033,1.89E+01
147,9,3.90E+01,3.88E+01,276.982,2.59E+01,168.537,1.34E+01
150,9,4.45E+01,4.43E+01,260.715,2.98E+01,315.722,1.64E+01
153,9,4.53E+01,4.49E+01,275.25,3.45E+01,274.038,4.00E+01
156,9,4.88E+01,4.88E+01,282.321,3.23E+01,246.751,2.13E+01
159,9,4.62E+01,4.61E+01,265.694,2.98E+01,300.68,2.13E+01
162,9,4.06E+01,4.02E+01,254.607,2.98E+01,286.972,1.64E+01
165,9,4.57E+01,4.57E+01,295.778,2.78E+01,236.068,1.92E+01
168,9,4.70E+01,4.69E+01,337.005,3.11E+01,345.586,3.25E+01
171,9,5.18E+01,5.16E+01,61,3.65E+01,37.652,2.34E+01
174,9,5.32E+01,5.30E+01,104.291,3.88E+01,113.088,3.09E+01
177,9,4.92E+01,4.90E+01,189.048,3.64E+01,172.45,2.40E+01
180,9,5.30E+01,5.29E+01,236.999,3.69E+01,236.999,4.00E+01
0,12,1.09E+02,1.09E+02,93.258,9.53E+01,273.258,4.00E+01
3,12,1.04E+02,1.04E+02,81.829,9.01E+01,262.075,4.00E+01
6,12,9.40E+01,9.38E+01,328.323,8.03E+01,147.538,4.00E+01
9,12,9.08E+01,9.06E+01,262.647,7.71E+01,83.426,4.00E+01
12,12,8.81E+01,8.79E+01,134.373,7.45E+01,313.999,4.00E+01
15,12,7.99E+01,7.97E+01,30.777,6.58E+01,209.722,4.00E+01
18,12,8.11E+01,8.09E+01,292.892,6.74E+01,114.245,4.00E+01
21,12,7.80E+01,7.78E+01,150.837,6.45E+01,328.765,4.00E+01
24,12,7.11E+01,7.09E+01,56.146,5.64E+01,236.317,4.00E+01
27,12,7.44E+01,7.42E+01,301.882,6.10E+01,123.207,4.00E+01
30,12,7.10E+01,7.08E+01,155.014,5.77E+01,329.696,3.42E+01
33,12,6.56E+01,6.55E+01,70.66,5.08E+01,254.471,3.85E+01
36,12,6.94E+01,6.92E+01,301.363,5.64E+01,121.607,4.00E+01
39,12,6.52E+01,6.49E+01,154.852,5.21E+01,324.257,2.80E+01
42,12,6.29E+01,6.27E+01,75.681,4.86E+01,263.227,3.20E+01
45,12,6.58E+01,6.56E+01,296.717,5.34E+01,113.973,3.90E+01
48,12,6.01E+01,5.99E+01,164.834,4.64E+01,325.07,2.32E+01
51,12,6.16E+01,6.14E+01,77.725,4.87E+01,263.641,3.29E+01
54,12,6.21E+01,6.18E+01,293.259,5.05E+01,103.717,2.75E+01
57,12,5.69E+01,5.68E+01,186.725,4.10E+01,354.583,2.95E+01
60,12,6.05E+01,6.02E+01,74.886,4.92E+01,254.977,4.00E+01
63,12,5.80E+01,5.77E+01,299.066,4.65E+01,97.13,2.03E+01
66,12,5.71E+01,5.69E+01,205.423,4.43E+01,33.037,3.06E+01
69,12,5.83E+01,5.79E+01,75.118,4.84E+01,243.805,2.45E+01
72,12,5.50E+01,5.48E+01,325.191,4.05E+01,130.824,2.68E+01
75,12,5.68E+01,5.63E+01,213.149,4.76E+01,32.767,4.00E+01
78,12,5.46E+01,5.42E+01,93.25,4.35E+01,246.576,1.83E+01
81,12,5.45E+01,5.40E+01,347.016,4.53E+01,179.084,2.34E+01
84,12,5.35E+01,5.28E+01,229.877,4.51E+01,29.117,1.80E+01
87,12,5.21E+01,5.17E+01,118.228,4.21E+01,323.402,1.78E+01
90,12,5.11E+01,5.00E+01,6.447,4.47E+01,178.283,2.44E+01
93,12,4.97E+01,4.94E+01,247.732,3.79E+01,111.55,1.50E+01
96,12,4.75E+01,4.58E+01,132.592,4.26E+01,329.389,1.72E+01
99,12,4.78E+01,4.77E+01,13.554,3.11E+01,285.896,1.66E+01
102,12,4.42E+01,4.31E+01,241.16,3.80E+01,116.598,7.79E+00
105,12,4.76E+01,4.75E+01,144.528,3.21E+01,164.838,2.48E+01
108,12,4.27E+01,4.24E+01,2.375,3.08E+01,214.458,1.75E+01
111,12,4.74E+01,4.70E+01,288.305,3.73E+01,346.588,1.14E+01
114,12,3.98E+01,3.63E+01,124.306,3.72E+01,318.474,1.82E+01
117,12,4.44E+01,4.35E+01,68.929,3.70E+01,156.462,6.56E+00
120,12,4.27E+01,3.94E+01,174.598,3.99E+01,113.846,4.67E+00
123,12,4.34E+01,4.33E+01,155.848,2.52E+01,339.981,4.00E+01
126,12,4.31E+01,4.22E+01,333.493,3.58E+01,263.205,7.26E+00
129,12,4.87E+01,4.86E+01,295.9,3.16E+01,311.893,2.83E+01
132,12,3.79E+01,3.47E+01,245.501,3.51E+01,325.202,1.60E+00
135,12,4.34E+01,4.32E+01,79.845,2.83E+01,165.319,1.49E+01
138,12,4.34E+01,4.17E+01,94.038,3.85E+01,110.218,1.76E+01
141,12,4.67E+01,4.65E+01,124.242,3.40E+01,75.168,1.51E+01
144,12,4.35E+01,4.34E+01,109.92,2.76E+01,179.372,1.64E+01
147,12,3.86E+01,3.82E+01,276.754,2.83E+01,167.033,1.05E+01
150,12,4.45E+01,4.43E+01,258.484,3.22E+01,314.322,1.39E+01
153,12,4.56E+01,4.49E+01,275.552,3.70E+01,274,4.00E+01
156,12,4.89E+01,4.87E+01,282.614,3.48E+01,246.336,1.87E+01
159,12,4.61E+01,4.59E+01,268.869,3.23E+01,303.933,1.87E+01
162,12,4.09E+01,4.03E+01,252.468,3.22E+01,286.602,1.40E+01
165,12,4.57E+01,4.55E+01,293.774,3.06E+01,235.219,1.64E+01
168,12,4.70E+01,4.68E+01,337.44,3.36E+01,345.549,3.06E+01
171,12,5.18E+01,5.15E+01,61.078,3.90E+01,37.702,2.10E+01
174,12,5.32E+01,5.29E+01,103.89,4.12E+01,112.794,2.84E+01
177,12,4.93E+01,4.89E+01,189.049,3.88E+01,172.414,2.17E+01
180,12,5.30E+01,5.28E+01,236.999,3.93E+01,236.999,4.00E+01
0,15,1.09E+02,1.09E+02,93.258,9.72E+01,273.258,4.00E+01
3,15,1.04E+02,1.04E+02,81.842,9.20E+01,262.088,4.00E+01
6,15,9.40E+01,9.37E+01,328.193,8.22E+01,147.404,4.00E+01
9,15,9.08E+01,9.05E+01,262.716,7.90E+01,83.495,4.00E+01
12,15,8.81E+01,8.78E+01,134,7.63E+01,313.628,4.00E+01
15,15,7.98E+01,7.95E+01,30.954,6.76E+01,209.9,4.00E+01
18,15,8.11E+01,8.08E+01,292.55,6.93E+01,113.922,4.00E+01
21,15,7.80E+01,7.77E+01,150.501,6.64E+01,328.456,4.00E+01
24,15,7.11E+01,7.08E+01,55.757,5.84E+01,235.974,4.00E+01
27,15,7.44E+01,7.41E+01,301.741,6.29E+01,123.085,4.00E+01
30,15,7.10E+01,7.07E+01,155.28,5.96E+01,329.941,3.24E+01
33,15,6.57E+01,6.55E+01,70.863,5.28E+01,254.627,3.68E+01
36,15,6.95E+01,6.91E+01,301.849,5.84E+01,121.976,4.00E+01
39,15,6.51E+01,6.48E+01,156.085,5.39E+01,325.136,2.59E+01
42,15,6.28E+01,6.25E+01,77.106,5.05E+01,264.483,3.04E+01
45,15,6.57E+01,6.53E+01,296.479,5.53E+01,113.837,3.76E+01
48,15,6.02E+01,5.99E+01,164.376,4.84E+01,324.831,2.15E+01
51,15,6.17E+01,6.13E+01,78.02,5.07E+01,263.828,3.13E+01
54,15,6.22E+01,6.17E+01,293.29,5.24E+01,103.858,2.59E+01
57,15,5.68E+01,5.66E+01,187.11,4.28E+01,354.863,2.76E+01
60,15,6.06E+01,6.01E+01,74.744,5.11E+01,254.89,4.00E+01
63,15,5.81E+01,5.76E+01,299.15,4.85E+01,97.042,1.85E+01
66,15,5.71E+01,5.68E+01,205.508,4.63E+01,33.227,2.87E+01
69,15,5.85E+01,5.77E+01,75.265,5.03E+01,243.802,2.29E+01
72,15,5.50E+01,5.47E+01,325.293,4.24E+01,131.252,2.51E+01
75,15,5.70E+01,5.61E+01,213.308,4.95E+01,32.886,4.00E+01
78,15,5.47E+01,5.41E+01,93.439,4.54E+01,246.83,1.66E+01
81,15,5.47E+01,5.38E+01,347.185,4.72E+01,179.355,2.18E+01
84,15,5.37E+01,5.27E+01,230.064,4.70E+01,29.272,1.66E+01
87,15,5.23E+01,5.16E+01,118.345,4.40E+01,323.86,1.61E+01
90,15,5.15E+01,4.99E+01,6.71,4.66E+01,178.407,2.34E+01
93,15,4.97E+01,4.93E+01,247.861,3.98E+01,112.035,1.32E+01
96,15,4.81E+01,4.57E+01,133.011,4.45E+01,329.599,1.68E+01
99,15,4.77E+01,4.76E+01,13.937,3.30E+01,286.928,1.46E+01
102,15,4.46E+01,4.29E+01,241.461,3.98E+01,116.574,6.52E+00
105,15,4.75E+01,4.73E+01,144.597,3.39E+01,165.444,2.27E+01
108,15,4.26E+01,4.22E+01,2.296,3.28E+01,213.947,1.56E+01
