Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
144,3,-1.29E+02,-1.29E+02,83.213,-1.53E+02,139.265,2.55E+01
147,3,-1.33E+02,-1.33E+02,227.548,-1.56E+02,192.237,2.83E+01
150,3,-1.31E+02,-1.31E+02,194.238,-1.53E+02,242.445,2.50E+01
153,3,-1.43E+02,-1.43E+02,175.193,-1.53E+02,159.883,2.27E+01
156,3,-1.37E+02,-1.37E+02,169.095,-1.61E+02,302.196,2.66E+01
159,3,-1.35E+02,-1.35E+02,190.909,-1.53E+02,176.407,2.96E+01
162,3,-1.27E+02,-1.27E+02,207.798,-1.55E+02,238.336,3.37E+01
165,3,-1.36E+02,-1.36E+02,343.957,-1.69E+02,275.392,3.37E+01
168,3,-1.43E+02,-1.43E+02,20.641,-1.62E+02,42.135,2.75E+01
171,3,-1.27E+02,-1.27E+02,252.958,-1.50E+02,265.065,3.70E+01
174,3,-1.28E+02,-1.28E+02,351.785,-1.59E+02,48.01,3.32E+01
177,3,-1.19E+02,-1.19E+02,203.548,-1.45E+02,249.117,2.95E+01
180,3,-1.11E+02,-1.11E+02,224.544,-1.37E+02,224.544,4.00E+01
0,6,-6.46E+01,-6.46E+01,73.57,-8.42E+01,253.57,4.00E+01
3,6,-7.60E+01,-7.60E+01,58.921,-9.57E+01,239.251,4.00E+01
6,6,-8.32E+01,-8.32E+01,215.522,-1.03E+02,35.207,4.00E+01
9,6,-8.61E+01,-8.61E+01,97.957,-1.06E+02,278.393,4.00E+01
12,6,-8.87E+01,-8.88E+01,274.74,-1.08E+02,94.498,4.00E+01
15,6,-9.31E+01,-9.31E+01,127.11,-1.13E+02,306.011,4.00E+01
18,6,-9.62E+01,-9.62E+01,317.777,-1.16E+02,134.988,4.00E+01
21,6,-1.01E+02,-1.01E+02,168.783,-1.20E+02,344.165,4.00E+01
24,6,-1.04E+02,-1.04E+02,20.575,-1.25E+02,197.031,4.00E+01
27,6,-1.05E+02,-1.05E+02,244.15,-1.25E+02,65.988,4.00E+01
30,6,-1.05E+02,-1.05E+02,92.963,-1.25E+02,277.298,4.00E+01
33,6,-1.05E+02,-1.05E+02,294.035,-1.25E+02,114.267,4.00E+01
36,6,-1.08E+02,-1.08E+02,136.725,-1.27E+02,313.702,4.00E+01
39,6,-1.12E+02,-1.12E+02,354.602,-1.32E+02,162.495,3.40E+01
42,6,-1.12E+02,-1.12E+02,238.407,-1.34E+02,56.04,4.00E+01
45,6,-1.11E+02,-1.11E+02,99.237,-1.31E+02,284.947,3.97E+01
48,6,-1.13E+02,-1.13E+02,310.693,-1.32E+02,122.771,3.62E+01
51,6,-1.16E+02,-1.16E+02,203.954,-1.37E+02,1.566,2.92E+01
54,6,-1.15E+02,-1.15E+02,83.247,-1.35E+02,272.098,3.62E+01
57,6,-1.18E+02,-1.18E+02,305.568,-1.36E+02,114.068,3.21E+01
60,6,-1.17E+02,-1.17E+02,220.322,-1.39E+02,20.919,3.20E+01
63,6,-1.18E+02,-1.18E+02,94.647,-1.35E+02,278.299,4.00E+01
66,6,-1.21E+02,-1.21E+02,19.269,-1.44E+02,178.723,3.26E+01
69,6,-1.19E+02,-1.19E+02,246.629,-1.38E+02,68.544,4.00E+01
72,6,-1.20E+02,-1.20E+02,191.01,-1.41E+02,332.052,2.53E+01
75,6,-1.20E+02,-1.21E+02,73.86,-1.37E+02,255.339,4.00E+01
78,6,-1.18E+02,-1.19E+02,27.664,-1.41E+02,202.673,4.00E+01
81,6,-1.25E+02,-1.26E+02,320.71,-1.42E+02,89.719,1.83E+01
84,6,-1.23E+02,-1.23E+02,230.928,-1.39E+02,49.668,4.00E+01
87,6,-1.25E+02,-1.25E+02,199.097,-1.44E+02,30.21,3.30E+01
90,6,-1.34E+02,-1.34E+02,95.286,-1.62E+02,187.492,2.75E+01
93,6,-1.29E+02,-1.29E+02,47.816,-1.51E+02,189.099,2.58E+01
96,6,-1.32E+02,-1.32E+02,105.261,-1.52E+02,293.706,3.69E+01
99,6,-1.23E+02,-1.23E+02,151.13,-1.41E+02,309.293,2.64E+01
102,6,-1.21E+02,-1.21E+02,156.667,-1.39E+02,304.361,2.34E+01
105,6,-1.21E+02,-1.22E+02,176.075,-1.40E+02,316.847,2.28E+01
108,6,-1.19E+02,-1.19E+02,202.668,-1.38E+02,352.945,2.51E+01
111,6,-1.17E+02,-1.17E+02,195.61,-1.35E+02,352.62,2.61E+01
114,6,-1.17E+02,-1.17E+02,168.412,-1.36E+02,338.613,3.36E+01
117,6,-1.22E+02,-1.22E+02,127.857,-1.46E+02,358.716,2.66E+01
120,6,-1.31E+02,-1.32E+02,86.134,-1.39E+02,79.137,2.70E+01
123,6,-1.32E+02,-1.33E+02,160.644,-1.38E+02,58.368,5.92E+00
126,6,-1.33E+02,-1.33E+02,132.151,-1.53E+02,37.342,2.04E+01
129,6,-1.28E+02,-1.28E+02,302.135,-1.50E+02,214.37,2.23E+01
132,6,-1.22E+02,-1.22E+02,279.104,-1.42E+02,299.442,2.93E+01
135,6,-1.26E+02,-1.26E+02,298.966,-1.40E+02,292.188,3.35E+01
138,6,-1.27E+02,-1.27E+02,345.847,-1.59E+02,62.18,3.22E+01
141,6,-1.30E+02,-1.30E+02,75.799,-1.46E+02,61.692,2.89E+01
144,6,-1.29E+02,-1.29E+02,84.222,-1.47E+02,139.521,1.97E+01
147,6,-1.33E+02,-1.33E+02,226.934,-1.50E+02,192.192,2.24E+01
150,6,-1.31E+02,-1.31E+02,194.619,-1.48E+02,242.831,1.91E+01
153,6,-1.43E+02,-1.44E+02,175.629,-1.48E+02,160.038,1.80E+01
156,6,-1.36E+02,-1.36E+02,169.832,-1.55E+02,294.993,2.09E+01
159,6,-1.36E+02,-1.37E+02,192.844,-1.47E+02,176.148,2.20E+01
162,6,-1.27E+02,-1.27E+02,206.719,-1.48E+02,235.442,2.83E+01
165,6,-1.35E+02,-1.35E+02,344.914,-1.62E+02,286.839,2.86E+01
168,6,-1.44E+02,-1.44E+02,24.383,-1.57E+02,44.252,2.20E+01
171,6,-1.27E+02,-1.27E+02,253.255,-1.44E+02,265.306,3.11E+01
174,6,-1.28E+02,-1.28E+02,351.757,-1.53E+02,47.936,2.72E+01
177,6,-1.19E+02,-1.19E+02,203.523,-1.39E+02,249.038,2.35E+01
180,6,-1.11E+02,-1.11E+02,224.544,-1.31E+02,224.544,4.00E+01
0,9,-6.46E+01,-6.47E+01,73.57,-8.07E+01,253.57,4.00E+01
3,9,-7.60E+01,-7.61E+01,58.943,-9.22E+01,239.274,4.00E+01
6,9,-8.32E+01,-8.33E+01,215.529,-9.94E+01,35.214,4.00E+01
9,9,-8.61E+01,-8.62E+01,97.859,-1.02E+02,278.294,4.00E+01
12,9,-8.87E+01,-8.88E+01,274.487,-1.05E+02,94.241,4.00E+01
15,9,-9.31E+01,-9.32E+01,126.683,-1.09E+02,305.595,4.00E+01
18,9,-9.62E+01,-9.64E+01,317.245,-1.12E+02,134.433,4.00E+01
21,9,-1.01E+02,-1.01E+02,168.649,-1.17E+02,343.922,3.81E+01
24,9,-1.04E+02,-1.04E+02,20.913,-1.21E+02,197.406,4.00E+01
27,9,-1.05E+02,-1.05E+02,244.366,-1.22E+02,66.14,4.00E+01
30,9,-1.05E+02,-1.05E+02,92.934,-1.21E+02,277.249,3.88E+01
33,9,-1.05E+02,-1.05E+02,293.967,-1.21E+02,114.247,4.00E+01
