Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
24,6,7.59E+01,7.59E+01,67.058,5.63E+01,249.177,4.00E+01
27,6,7.48E+01,7.48E+01,261.735,5.55E+01,81.968,4.00E+01
30,6,7.27E+01,7.26E+01,92.024,5.35E+01,269.576,4.00E+01
33,6,6.94E+01,6.93E+01,283.655,5.01E+01,96.986,3.80E+01
36,6,6.50E+01,6.50E+01,124.686,4.49E+01,292.159,3.34E+01
39,6,6.24E+01,6.24E+01,349.519,4.02E+01,167.687,4.00E+01
42,6,6.41E+01,6.40E+01,209.419,4.39E+01,37.637,3.71E+01
45,6,6.50E+01,6.50E+01,45.195,4.62E+01,228.611,4.00E+01
48,6,6.49E+01,6.48E+01,233.273,4.66E+01,50.47,4.00E+01
51,6,6.29E+01,6.28E+01,62.551,4.48E+01,231.21,3.23E+01
54,6,5.96E+01,5.95E+01,264.077,4.04E+01,60.144,2.71E+01
57,6,5.75E+01,5.75E+01,123.08,3.44E+01,294.27,3.94E+01
60,6,5.91E+01,5.90E+01,338.412,3.98E+01,168.005,3.50E+01
63,6,6.03E+01,6.02E+01,174.117,4.29E+01,354.076,4.00E+01
66,6,5.95E+01,5.94E+01,7.499,4.30E+01,174.53,2.96E+01
69,6,5.74E+01,5.73E+01,210.311,3.95E+01,3.123,2.48E+01
72,6,5.62E+01,5.62E+01,66.104,3.46E+01,239.256,4.00E+01
75,6,5.69E+01,5.68E+01,277.018,3.97E+01,106.549,3.29E+01
78,6,5.68E+01,5.67E+01,119.022,4.19E+01,293.869,3.60E+01
81,6,5.54E+01,5.53E+01,324.267,3.96E+01,120.73,2.39E+01
84,6,5.42E+01,5.41E+01,175.344,3.34E+01,351.281,4.00E+01
87,6,5.33E+01,5.32E+01,22.984,3.81E+01,228.581,2.26E+01
90,6,5.17E+01,5.14E+01,230.656,3.90E+01,54.007,3.76E+01
93,6,5.06E+01,5.06E+01,79.683,3.20E+01,237.465,2.71E+01
96,6,5.01E+01,5.01E+01,274.645,2.80E+01,178.101,2.21E+01
99,6,4.75E+01,4.74E+01,107.56,3.23E+01,342.693,1.69E+01
102,6,4.62E+01,4.60E+01,332.897,3.18E+01,102.154,1.66E+01
105,6,4.91E+01,4.91E+01,172.753,2.95E+01,249.832,1.98E+01
108,6,4.67E+01,4.66E+01,350.132,2.82E+01,199.25,2.48E+01
111,6,3.99E+01,3.80E+01,225.499,3.55E+01,19.9,1.32E+01
114,6,4.66E+01,4.66E+01,68.545,2.67E+01,207.113,2.35E+01
117,6,4.73E+01,4.72E+01,228.169,3.03E+01,144.315,1.69E+01
120,6,3.99E+01,3.94E+01,118.935,3.02E+01,272.558,1.71E+01
123,6,4.90E+01,4.90E+01,331.647,2.74E+01,33.322,2.27E+01
126,6,4.09E+01,4.06E+01,114.838,2.96E+01,349.407,1.30E+01
129,6,3.79E+01,3.65E+01,80.588,3.21E+01,161.269,4.65E+00
132,6,4.81E+01,4.81E+01,185.89,2.30E+01,123.674,2.62E+01
135,6,3.58E+01,3.49E+01,14.867,2.88E+01,244.447,9.45E+00
138,6,4.69E+01,4.69E+01,303.661,2.75E+01,13.989,1.99E+01
141,6,4.24E+01,4.21E+01,20.514,3.08E+01,316.551,1.24E+01
144,6,4.14E+01,4.13E+01,345.93,2.56E+01,103.043,1.67E+01
147,6,4.80E+01,4.80E+01,130.098,2.12E+01,85.509,2.99E+01
150,6,4.19E+01,4.16E+01,120.034,2.96E+01,152.677,1.77E+01
153,6,4.54E+01,4.53E+01,169.56,2.37E+01,117.69,2.37E+01
156,6,2.94E+01,2.78E+01,101.237,2.43E+01,242.275,9.87E+00
159,6,4.52E+01,4.52E+01,278.747,2.40E+00,19.386,4.00E+01
162,6,3.95E+01,3.90E+01,313.172,2.97E+01,298.832,2.23E+01
165,6,4.74E+01,4.74E+01,299.228,1.51E+01,300.145,4.00E+01
168,6,4.15E+01,4.12E+01,295.734,2.98E+01,297.412,4.00E+01
171,6,5.04E+01,5.04E+01,305.138,2.71E+01,306.769,4.00E+01
174,6,4.49E+01,4.49E+01,330.734,2.43E+01,352.649,2.92E+01
177,6,4.80E+01,4.78E+01,19.55,3.46E+01,305.238,1.35E+01
180,6,6.00E+01,6.00E+01,331.973,4.04E+01,331.973,4.00E+01
0,9,1.08E+02,1.08E+02,62.883,9.15E+01,242.883,4.00E+01
3,9,9.13E+01,9.12E+01,45.501,7.50E+01,227.044,4.00E+01
6,9,9.42E+01,9.41E+01,216.575,7.80E+01,36.918,4.00E+01
9,9,9.17E+01,9.16E+01,70.112,7.56E+01,249.96,4.00E+01
12,9,8.72E+01,8.71E+01,279.767,7.10E+01,98.711,4.00E+01
15,9,8.17E+01,8.16E+01,132.877,6.53E+01,310.646,4.00E+01
18,9,7.72E+01,7.71E+01,358.77,6.04E+01,178.035,4.00E+01
21,9,7.61E+01,7.60E+01,221.498,5.95E+01,44.041,4.00E+01
24,9,7.59E+01,7.58E+01,66.982,5.98E+01,249.195,4.00E+01
27,9,7.50E+01,7.49E+01,261.598,5.91E+01,81.934,4.00E+01
30,9,7.29E+01,7.28E+01,92.878,5.71E+01,270.27,4.00E+01
33,9,6.93E+01,6.92E+01,285.946,5.36E+01,98.686,3.38E+01
36,9,6.46E+01,6.46E+01,126.196,4.81E+01,293.182,2.96E+01
39,9,6.20E+01,6.20E+01,349.959,4.33E+01,168.487,4.00E+01
42,9,6.40E+01,6.39E+01,208.537,4.73E+01,37.037,3.34E+01
45,9,6.51E+01,6.50E+01,45.595,4.98E+01,228.866,4.00E+01
48,9,6.48E+01,6.47E+01,233.352,5.00E+01,50.412,4.00E+01
51,9,6.29E+01,6.28E+01,63.283,4.83E+01,231.602,2.86E+01
54,9,5.96E+01,5.95E+01,263.237,4.40E+01,59.995,2.38E+01
57,9,5.73E+01,5.73E+01,124.785,3.77E+01,295.626,3.57E+01
60,9,5.91E+01,5.90E+01,337.949,4.32E+01,167.419,3.17E+01
63,9,6.03E+01,6.01E+01,174.107,4.65E+01,353.828,4.00E+01
66,9,5.96E+01,5.94E+01,7.706,4.65E+01,175.011,2.65E+01
69,9,5.74E+01,5.72E+01,210.447,4.30E+01,3.295,2.13E+01
72,9,5.61E+01,5.60E+01,66.77,3.79E+01,239.604,3.63E+01
75,9,5.69E+01,5.68E+01,277.35,4.33E+01,106.563,2.97E+01
78,9,5.70E+01,5.66E+01,119.066,4.54E+01,293.797,3.26E+01
81,9,5.55E+01,5.53E+01,324.277,4.30E+01,120.949,2.07E+01
84,9,5.42E+01,5.41E+01,175.387,3.69E+01,351.933,4.00E+01
87,9,5.34E+01,5.31E+01,23.102,4.16E+01,228.516,1.94E+01
90,9,5.19E+01,5.14E+01,230.868,4.25E+01,54.157,3.48E+01
93,9,5.06E+01,5.05E+01,79.895,3.55E+01,238.081,2.38E+01
96,9,5.01E+01,5.00E+01,274.685,3.15E+01,179.08,1.86E+01
99,9,4.76E+01,4.73E+01,107.46,3.58E+01,343.192,1.33E+01
102,9,4.63E+01,4.59E+01,333.007,3.53E+01,102.502,1.32E+01
105,9,4.91E+01,4.90E+01,173.199,3.29E+01,248.686,1.64E+01
108,9,4.65E+01,4.64E+01,351.472,3.18E+01,199.328,2.14E+01
111,9,4.13E+01,3.73E+01,230.491,3.90E+01,19.35,1.13E+01
114,9,4.64E+01,4.63E+01,67.82,3.02E+01,206.662,1.99E+01
117,9,4.76E+01,4.74E+01,227.929,3.38E+01,143.243,1.36E+01
120,9,4.06E+01,3.96E+01,123.928,3.36E+01,273.452,1.35E+01
123,9,4.87E+01,4.86E+01,331.271,3.07E+01,36.6,1.88E+01
126,9,4.15E+01,4.09E+01,115.592,3.30E+01,351.128,1.00E+01
129,9,3.93E+01,3.68E+01,86.935,3.57E+01,161.753,2.60E+00
132,9,4.82E+01,4.82E+01,186.771,2.66E+01,127.407,2.28E+01
135,9,3.66E+01,3.47E+01,8.549,3.21E+01,245.678,5.91E+00
138,9,4.71E+01,4.70E+01,304.352,3.11E+01,11.172,1.66E+01
141,9,4.27E+01,4.21E+01,23.227,3.40E+01,315.847,9.03E+00
144,9,4.11E+01,4.08E+01,343.622,2.93E+01,104.518,1.30E+01
147,9,4.75E+01,4.75E+01,129.556,2.41E+01,76.175,2.53E+01
150,9,4.25E+01,4.19E+01,115.745,3.32E+01,151.73,1.41E+01
153,9,4.49E+01,4.48E+01,171.028,2.72E+01,117.054,1.95E+01
156,9,3.16E+01,2.91E+01,122.357,2.79E+01,241.299,4.75E+00
159,9,4.50E+01,4.50E+01,279.53,7.55E+00,13.994,3.74E+01
162,9,3.91E+01,3.80E+01,310.223,3.29E+01,296.75,2.00E+01
165,9,4.80E+01,4.80E+01,302.362,2.11E+01,312.126,4.00E+01
168,9,4.09E+01,4.02E+01,289.372,3.30E+01,295.441,2.82E+01
171,9,5.05E+01,5.04E+01,305.311,3.07E+01,306.996,4.00E+01
174,9,4.50E+01,4.49E+01,330.446,2.79E+01,352.297,2.57E+01
177,9,4.82E+01,4.78E+01,19.231,3.82E+01,305.405,1.00E+01
180,9,6.00E+01,5.99E+01,331.973,4.39E+01,331.973,4.00E+01
0,12,1.08E+02,1.07E+02,62.883,9.40E+01,242.883,4.00E+01
3,12,9.13E+01,9.11E+01,45.791,7.75E+01,227.344,4.00E+01
6,12,9.42E+01,9.40E+01,216.402,8.05E+01,36.742,4.00E+01
9,12,9.17E+01,9.15E+01,69.247,7.80E+01,249.099,4.00E+01
12,12,8.70E+01,8.69E+01,278.45,7.34E+01,97.375,4.00E+01
15,12,8.15E+01,8.13E+01,132.21,6.76E+01,309.921,4.00E+01
18,12,7.72E+01,7.70E+01,358.417,6.28E+01,177.726,4.00E+01
21,12,7.61E+01,7.59E+01,220.925,6.20E+01,43.511,4.00E+01
24,12,7.60E+01,7.58E+01,66.515,6.23E+01,248.813,4.00E+01
27,12,7.51E+01,7.49E+01,261.332,6.17E+01,81.73,4.00E+01
