Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
159,3,-1.16E+02,-1.16E+02,78.034,-1.43E+02,71.521,4.00E+01
162,3,-1.15E+02,-1.15E+02,272.275,-1.41E+02,267.482,4.00E+01
165,3,-1.17E+02,-1.17E+02,60.585,-1.43E+02,53.63,4.00E+01
168,3,-1.14E+02,-1.14E+02,277.354,-1.40E+02,275.088,4.00E+01
171,3,-1.16E+02,-1.16E+02,67.149,-1.43E+02,64.127,4.00E+01
174,3,-1.14E+02,-1.14E+02,273.269,-1.40E+02,272.603,4.00E+01
177,3,-1.16E+02,-1.16E+02,74.299,-1.42E+02,74.018,4.00E+01
180,3,-1.12E+02,-1.12E+02,271.46,-1.38E+02,271.463,4.00E+01
0,6,-7.53E+01,-7.53E+01,350.356,-9.49E+01,170.356,4.00E+01
3,6,-8.91E+01,-8.91E+01,23.35,-1.09E+02,203.693,4.00E+01
6,6,-9.77E+01,-9.77E+01,8.439,-1.18E+02,184.749,4.00E+01
9,6,-9.22E+01,-9.23E+01,288.443,-1.12E+02,109.439,4.00E+01
12,6,-9.30E+01,-9.30E+01,165.677,-1.13E+02,347.11,4.00E+01
15,6,-9.52E+01,-9.53E+01,29.089,-1.15E+02,210.117,4.00E+01
18,6,-9.77E+01,-9.78E+01,246.421,-1.17E+02,66.483,4.00E+01
21,6,-1.00E+02,-1.00E+02,98.127,-1.20E+02,276.154,4.00E+01
24,6,-1.03E+02,-1.03E+02,304.347,-1.22E+02,121.672,4.00E+01
27,6,-1.04E+02,-1.04E+02,146.498,-1.24E+02,323.781,4.00E+01
30,6,-1.06E+02,-1.06E+02,343.526,-1.26E+02,161.729,4.00E+01
33,6,-1.07E+02,-1.07E+02,177.934,-1.27E+02,358.567,4.00E+01
36,6,-1.08E+02,-1.08E+02,9.552,-1.28E+02,193.055,4.00E+01
