#Parameters = {h=500}
#"Wavelength / nm"	"Total ACS [pw] (h=500) [Real Part]"
#------------------------------------------------------
583.00000000000	3753365.5338319
584.00000000000	3434822.9916945
585.00000000000	3135518.9725983
586.00000000000	2867146.4239364
590.00000000000	2185205.9496482
595.00000000000	1815249.6517365
600.00000000000	1377617.3993679
#Parameters = {h=1720}
#"Wavelength / nm"	"Total ACS [pw] (h=1720) [Real Part]"
#-------------------------------------------------------
400.00000000000	15132585.860510
401.00000000000	15570103.825994
402.00000000000	16109895.764456
403.00000000000	16723428.706652
404.00000000000	17321313.873455
405.00000000000	17832570.097242
406.00000000000	18255572.839111
407.00000000000	18642805.550910
408.00000000000	19043019.201331
409.00000000000	19455607.365880
410.00000000000	19833228.320717
411.00000000000	20123925.093190
412.00000000000	20313062.210227
413.00000000000	20430869.946896
414.00000000000	20522541.918339
415.00000000000	20608039.979814
416.00000000000	20664441.922020
417.00000000000	20644127.790940
418.00000000000	20513852.048669
419.00000000000	20283978.784506
420.00000000000	20003855.502432
421.00000000000	19726667.921173
422.00000000000	19468666.252301
423.00000000000	19194733.261841
424.00000000000	18842988.537210
425.00000000000	18372377.000447
426.00000000000	17799553.170956
427.00000000000	17196807.472895
428.00000000000	16646859.711743
429.00000000000	16186848.597469
430.00000000000	15782320.676179
435.00000000000	12904756.189606
440.00000000000	10954192.104084
445.00000000000	8980723.7466123
450.00000000000	7266845.5024424
455.00000000000	6581377.3221275
460.00000000000	5282990.1738089
465.00000000000	4760272.3595920
470.00000000000	4270636.4409282
475.00000000000	3548506.2608451
480.00000000000	3575548.4717813
485.00000000000	2845933.8184966
490.00000000000	3053091.0269676
495.00000000000	2453722.5561706
500.00000000000	2716362.5089883
505.00000000000	2268447.1378578
510.00000000000	2604454.2119138
515.00000000000	2326910.2153441
520.00000000000	2826241.3723681
525.00000000000	2888004.2101225
526.00000000000	2988418.1093653
527.00000000000	3142814.8676210
528.00000000000	3336976.2355114
529.00000000000	3549039.0511798
530.00000000000	3756528.7957618
531.00000000000	3943127.2389859
532.00000000000	4102737.5017095
533.00000000000	4240011.9182413
534.00000000000	4367475.3336156
535.00000000000	4500101.3752807
536.00000000000	4649415.9262427
537.00000000000	4818818.0614591
538.00000000000	5001306.1079769
539.00000000000	5180412.9668963
540.00000000000	5333879.2419996
541.00000000000	5438874.6598214
542.00000000000	5477394.9828442
543.00000000000	5440554.3088776
544.00000000000	5330568.0609376
545.00000000000	5160048.8120401
546.00000000000	4949161.7262813
547.00000000000	4721276.2605693
548.00000000000	4498303.7745234
549.00000000000	4296745.0204885
550.00000000000	4125398.7876500
551.00000000000	3985034.1323804
552.00000000000	3869860.3702875
553.00000000000	3770319.3542867
554.00000000000	3676349.2873700
555.00000000000	3580432.0906833
556.00000000000	3479680.1118751
560.00000000000	3139676.0599684
564.00000000000	3330059.8685708
565.00000000000	3483829.4440899
566.00000000000	3668402.9584105
567.00000000000	3874366.6747418
568.00000000000	4092120.5039277
569.00000000000	4312599.8520760
570.00000000000	4527498.0889999
571.00000000000	4729060.9099040
572.00000000000	4909672.9122627
573.00000000000	5061427.5782613
574.00000000000	5175963.9645366
575.00000000000	5244704.0876599
576.00000000000	5259571.8670208
577.00000000000	5214072.6266415
578.00000000000	5104543.3566107
579.00000000000	4931309.9978559
580.00000000000	4699433.9441439
581.00000000000	4418872.3169524
582.00000000000	4103878.2024419
583.00000000000	3771712.9941808
584.00000000000	3440793.2364885
585.00000000000	3128573.6536426
586.00000000000	2849487.1088984
590.00000000000	2174870.2415381
595.00000000000	1842045.4495272
600.00000000000	1358800.3368319
#Parameters = {h=2300}
#"Wavelength / nm"	"Total ACS [pw] (h=2300) [Real Part]"
#-------------------------------------------------------
400.00000000000	14993217.232151
401.00000000000	15723455.502279
402.00000000000	16377668.465567
403.00000000000	16856010.299122
404.00000000000	17214915.522275
405.00000000000	17594754.320059
406.00000000000	18087418.635936
407.00000000000	18661109.745344
408.00000000000	19196127.538427
409.00000000000	19587767.098090
410.00000000000	19824651.273202
411.00000000000	19983532.462992
412.00000000000	20156208.655133
413.00000000000	20374665.730298
414.00000000000	20591830.282638
415.00000000000	20724394.253714
416.00000000000	20717221.464475
417.00000000000	20579731.330712
418.00000000000	20373194.737330
419.00000000000	20165052.261093
420.00000000000	19984207.439278
421.00000000000	19806600.875859
422.00000000000	19574792.643487
423.00000000000	19236593.208499
424.00000000000	18778594.465198
425.00000000000	18236027.252899
426.00000000000	17675085.713906
427.00000000000	17158155.294992
428.00000000000	16708169.630101
429.00000000000	16295161.772026
430.00000000000	15855234.933323
435.00000000000	12913776.023375
440.00000000000	10849510.282758
445.00000000000	9061510.7181592
450.00000000000	7214546.5223576
455.00000000000	6571910.4394046
460.00000000000	5310038.0791757
465.00000000000	4710639.4016009
470.00000000000	4315735.4106714
475.00000000000	3499120.1899313
480.00000000000	3614830.5431750
485.00000000000	2805730.3576297
490.00000000000	3085861.6721593
495.00000000000	2418471.9142197
500.00000000000	2748958.5637737
505.00000000000	2232734.2520206
510.00000000000	2639837.0908272
515.00000000000	2290282.7750771
520.00000000000	2858669.9383273
525.00000000000	2859847.7928711
526.00000000000	2947864.7285488
527.00000000000	3101707.3525357
528.00000000000	3307300.4997030
529.00000000000	3539279.2791634
530.00000000000	3769135.4823633
531.00000000000	3973837.8941404
532.00000000000	4141911.3370097
533.00000000000	4275539.6007179
534.00000000000	4388371.3709553
535.00000000000	4499698.4550045
536.00000000000	4627251.7171817
537.00000000000	4780685.2421384
538.00000000000	4957505.1927929
539.00000000000	5142744.5741922
540.00000000000	5312277.0108474
541.00000000000	5438627.8998408
542.00000000000	5497728.3635344
543.00000000000	5474936.8909652
544.00000000000	5368605.4812506
545.00000000000	5190412.6252249
546.00000000000	4962706.7784456
547.00000000000	4713517.1230421
548.00000000000	4470576.0766166
549.00000000000	4255786.0925798
550.00000000000	4081497.4278154
551.00000000000	3949278.4085854
552.00000000000	3851212.0688571
553.00000000000	3773298.6744634
554.00000000000	3699908.8805248
555.00000000000	3618272.2901333
556.00000000000	3521892.3805275
560.00000000000	3116870.3997470
564.00000000000	3301276.4811580
565.00000000000	3475154.7575390
566.00000000000	3681636.1602510
567.00000000000	3906145.4319044
568.00000000000	4134755.0135798
569.00000000000	4355895.8649526
570.00000000000	4561133.6920021
571.00000000000	4744949.4105442
572.00000000000	4903783.0767256
573.00000000000	5034650.4644713
574.00000000000	5133855.4581847
575.00000000000	5196203.3941111
576.00000000000	5214978.1346901
577.00000000000	5182762.0853341
578.00000000000	5092940.2594010
579.00000000000	4941523.9242880
580.00000000000	4728877.7891467
581.00000000000	4460877.9823210
582.00000000000	4149190.5144342
583.00000000000	3810487.6683979
584.00000000000	3464687.8690835
585.00000000000	3132467.2345303
586.00000000000	2832499.5963752
590.00000000000	2136816.1049567
595.00000000000	1886456.2882041
600.00000000000	1342355.3721790
