#Parameters = {h=500}
#"Wavelength / nm"	"Total RCS [pw] (h=500) [Real Part]"
#------------------------------------------------------
585.00000000000	54766995.989318
586.00000000000	55022680.008257
590.00000000000	56043765.611782
595.00000000000	56763411.174411
600.00000000000	56598961.535127
#Parameters = {h=1470}
#"Wavelength / nm"	"Total RCS [pw] (h=1470) [Real Part]"
#-------------------------------------------------------
400.00000000000	33849022.466385
401.00000000000	33195461.726805
402.00000000000	32627310.781470
403.00000000000	32049874.551039
404.00000000000	31400261.628737
405.00000000000	30709166.965386
406.00000000000	30080859.166405
407.00000000000	29608090.350132
408.00000000000	29296045.660951
409.00000000000	29061070.469502
410.00000000000	28804575.037511
411.00000000000	28497740.997299
412.00000000000	28205132.590331
413.00000000000	28028819.984535
414.00000000000	28022077.018430
415.00000000000	28145347.072917
416.00000000000	28299594.874325
417.00000000000	28407246.921633
418.00000000000	28473205.366191
419.00000000000	28577430.819175
420.00000000000	28806938.562354
421.00000000000	29183550.150615
422.00000000000	29644259.650670
423.00000000000	30088102.877007
424.00000000000	30451032.953313
425.00000000000	30750287.776997
426.00000000000	31065451.753446
427.00000000000	31472749.174344
428.00000000000	31982344.085105
429.00000000000	32526126.487467
430.00000000000	33004182.623188
435.00000000000	34427090.579419
440.00000000000	35518389.449235
445.00000000000	36410155.338246
450.00000000000	36417336.720496
455.00000000000	36923046.061858
460.00000000000	37270230.799281
465.00000000000	37442600.777624
470.00000000000	38398188.251350
475.00000000000	38655179.329493
480.00000000000	39940069.737794
485.00000000000	40519011.952232
490.00000000000	41935675.983770
495.00000000000	42777880.311385
500.00000000000	44273327.384542
505.00000000000	45172362.737551
510.00000000000	46704433.471799
515.00000000000	47423961.003258
520.00000000000	48831332.165121
525.00000000000	49077088.433242
526.00000000000	49215541.717004
527.00000000000	49399381.140773
528.00000000000	49595454.896262
529.00000000000	49761800.944190
530.00000000000	49859571.593006
531.00000000000	49865286.037607
532.00000000000	49777182.829847
533.00000000000	49615696.392899
534.00000000000	49418177.384566
535.00000000000	49228308.010370
536.00000000000	49085114.423127
537.00000000000	49013926.408923
538.00000000000	49021159.278935
539.00000000000	49095334.297250
540.00000000000	49212931.836227
541.00000000000	49347141.048075
542.00000000000	49476700.985534
543.00000000000	49593014.868220
544.00000000000	49702685.679443
545.00000000000	49824902.642631
546.00000000000	49985422.022202
547.00000000000	50208235.729918
548.00000000000	50507570.283726
549.00000000000	50882194.255636
550.00000000000	51314117.120434
551.00000000000	51771805.844583
552.00000000000	52216801.366499
553.00000000000	52612359.177992
554.00000000000	52931346.831614
555.00000000000	53162119.758675
556.00000000000	53310453.367985
560.00000000000	53578785.503554
564.00000000000	54060770.781271
565.00000000000	54108242.219087
566.00000000000	54066254.651726
567.00000000000	53919159.052180
568.00000000000	53668578.727636
569.00000000000	53334434.634004
570.00000000000	52952212.914720
571.00000000000	52567149.981419
572.00000000000	52226760.016394
573.00000000000	51973019.034293
574.00000000000	51835763.411066
575.00000000000	51828827.941273
576.00000000000	51949029.784404
577.00000000000	52178336.569774
578.00000000000	52488394.078721
579.00000000000	52846378.827029
580.00000000000	53220944.411329
581.00000000000	53587076.424417
582.00000000000	53929058.047981
583.00000000000	54241165.003245
584.00000000000	54526205.494623
585.00000000000	54792483.344802
586.00000000000	55049990.374984
590.00000000000	56076467.658497
595.00000000000	56806317.522235
600.00000000000	56652620.424527
#Parameters = {h=1720}
#"Wavelength / nm"	"Total RCS [pw] (h=1720) [Real Part]"
#-------------------------------------------------------
400.00000000000	33984114.816078
401.00000000000	33366958.434030
402.00000000000	32746901.420756
403.00000000000	32076090.482220
404.00000000000	31366632.418636
405.00000000000	30689113.449927
406.00000000000	30124615.295350
407.00000000000	29705406.722475
408.00000000000	29391585.749783
409.00000000000	29104178.117187
410.00000000000	28789631.230509
411.00000000000	28463851.952011
412.00000000000	28199987.420517
413.00000000000	28069669.962126
414.00000000000	28085437.692700
415.00000000000	28190654.348751
416.00000000000	28304435.709008
417.00000000000	28384746.762600
418.00000000000	28459202.736419
419.00000000000	28600018.652460
420.00000000000	28863930.447164
421.00000000000	29245308.071359
422.00000000000	29678440.452015
423.00000000000	30086042.254181
424.00000000000	30435200.361431
425.00000000000	30757496.020729
426.00000000000	31118944.242474
427.00000000000	31564296.815715
428.00000000000	32077604.138903
429.00000000000	32589189.455653
430.00000000000	33023481.762658
435.00000000000	34553220.738180
440.00000000000	35550692.540847
445.00000000000	36434727.684280
450.00000000000	36508118.636768
455.00000000000	36880191.799744
460.00000000000	37294475.845134
465.00000000000	37406813.358461
470.00000000000	38322068.014129
475.00000000000	38615843.948288
480.00000000000	39800852.133996
485.00000000000	40456598.490029
490.00000000000	41773717.617872
495.00000000000	42694671.086650
500.00000000000	44106422.333189
505.00000000000	45080065.793981
510.00000000000	46539562.960272
515.00000000000	47334577.745514
520.00000000000	48679360.449340
525.00000000000	48998798.715790
526.00000000000	49142547.044883
527.00000000000	49321440.814494
528.00000000000	49504891.844600
529.00000000000	49655808.471884
530.00000000000	49740920.301210
531.00000000000	49741296.805364
532.00000000000	49657337.150346
533.00000000000	49508707.710321
534.00000000000	49329397.941091
535.00000000000	49158248.753939
536.00000000000	49029450.139237
537.00000000000	48964916.117440
538.00000000000	48969988.658846
539.00000000000	49034675.435947
540.00000000000	49138973.289818
541.00000000000	49260507.266529
542.00000000000	49382104.513563
543.00000000000	49497771.394808
544.00000000000	49614564.999054
