#Parameters = {m=7}
#"Wavelength / nm"	"Total RCS [pw] (m=7) [Real Part]"
#----------------------------------------------------
581.00000000000	49641825.132208
582.00000000000	50114588.426533
583.00000000000	50662290.842505
584.00000000000	51241347.650644
585.00000000000	51809452.738291
586.00000000000	52332751.268194
590.00000000000	53793041.610391
595.00000000000	55345215.938816
600.00000000000	57010346.708077
#Parameters = {m=10}
#"Wavelength / nm"	"Total RCS [pw] (m=10) [Real Part]"
#-----------------------------------------------------
400.00000000000	45008800.248048
401.00000000000	44175098.768872
402.00000000000	43329206.288198
403.00000000000	42516866.942287
404.00000000000	41760287.036537
405.00000000000	41036292.677883
406.00000000000	40296603.610673
407.00000000000	39519487.575119
408.00000000000	38745110.244096
409.00000000000	38055900.651239
410.00000000000	37513944.792677
411.00000000000	37110278.067477
412.00000000000	36773391.488244
413.00000000000	36431686.894485
414.00000000000	36076150.711801
415.00000000000	35769065.725969
416.00000000000	35592016.380204
417.00000000000	35578180.939191
418.00000000000	35685689.126495
419.00000000000	35832564.148967
420.00000000000	35961644.782747
421.00000000000	36083059.025111
422.00000000000	36261257.265453
423.00000000000	36560351.313870
424.00000000000	36992052.902915
425.00000000000	37505305.429451
426.00000000000	38022705.499681
427.00000000000	38493959.598145
428.00000000000	38924792.620281
429.00000000000	39363169.982420
430.00000000000	39856512.636455
435.00000000000	42289720.814727
436.00000000000	42588920.211631
437.00000000000	42892890.417672
438.00000000000	43224463.375956
439.00000000000	43563510.938098
440.00000000000	43860361.799772
441.00000000000	44070193.796413
442.00000000000	44181829.811401
443.00000000000	44226144.553039
444.00000000000	44255893.808155
445.00000000000	44313176.096113
450.00000000000	44373692.981763
455.00000000000	43903160.526440
460.00000000000	42992929.982740
465.00000000000	42529993.557891
470.00000000000	41552536.036147
475.00000000000	41236124.731059
480.00000000000	40810352.867834
485.00000000000	40675808.262918
490.00000000000	40923702.571538
495.00000000000	41049515.438724
500.00000000000	41841269.149143
505.00000000000	42253969.820046
510.00000000000	43359809.783146
515.00000000000	44002444.507489
520.00000000000	45114255.995139
525.00000000000	45815326.516883
526.00000000000	45826142.323020
527.00000000000	45875923.387520
528.00000000000	45987282.937671
529.00000000000	46158985.710527
530.00000000000	46365705.359213
531.00000000000	46566985.612205
532.00000000000	46719249.072355
533.00000000000	46789474.318233
534.00000000000	46765684.925708
535.00000000000	46660294.301682
536.00000000000	46507020.789854
537.00000000000	46351867.467401
538.00000000000	46240477.650894
539.00000000000	46206778.815195
540.00000000000	46265509.283306
541.00000000000	46410294.062704
542.00000000000	46617693.793245
543.00000000000	46856180.106998
544.00000000000	47096423.706500
545.00000000000	47319837.158697
546.00000000000	47523743.274146
547.00000000000	47721204.362371
548.00000000000	47935977.299555
549.00000000000	48194057.057420
550.00000000000	48514800.610533
551.00000000000	48903975.496707
552.00000000000	49350727.790513
553.00000000000	49828990.125307
554.00000000000	50303167.183274
555.00000000000	50736599.553793
556.00000000000	51100257.210363
560.00000000000	51805054.899529
564.00000000000	52306863.631229
565.00000000000	52475398.829084
566.00000000000	52618229.258458
567.00000000000	52701809.458953
568.00000000000	52698189.982874
569.00000000000	52592590.390089
570.00000000000	52388192.308778
571.00000000000	52107135.968001
572.00000000000	51787638.592004
573.00000000000	51477682.181681
574.00000000000	51226728.614580
575.00000000000	51077456.604197
576.00000000000	51058474.313409
577.00000000000	51180333.492023
578.00000000000	51434763.537454
579.00000000000	51797393.134165
580.00000000000	52233120.765666
581.00000000000	52702966.316126
582.00000000000	53170918.696732
583.00000000000	53609508.726453
584.00000000000	54003109.381509
585.00000000000	54348548.779460
586.00000000000	54653228.208015
590.00000000000	55751394.709582
595.00000000000	57097588.754107
600.00000000000	57468919.808565
#Parameters = {m=12}
#"Wavelength / nm"	"Total RCS [pw] (m=12) [Real Part]"
#-----------------------------------------------------
400.00000000000	38740892.943418
401.00000000000	37901568.670064
402.00000000000	37149168.908142
403.00000000000	36461148.521967
404.00000000000	35774021.837940
405.00000000000	35041276.671488
406.00000000000	34283065.044217
407.00000000000	33581110.314257
408.00000000000	33018220.542303
409.00000000000	32612330.919835
410.00000000000	32302818.866310
411.00000000000	32002638.556228
412.00000000000	31672715.976095
413.00000000000	31355051.091392
414.00000000000	31137268.630443
415.00000000000	31079016.557595
416.00000000000	31162482.188311
417.00000000000	31307171.735180
418.00000000000	31435001.562581
419.00000000000	31531284.414389
420.00000000000	31652427.088873
421.00000000000	31876652.444091
422.00000000000	32238623.807787
423.00000000000	32700056.648242
424.00000000000	33177386.216937
425.00000000000	33602548.646403
426.00000000000	33969094.172256
427.00000000000	34330099.202174
428.00000000000	34750299.831525
429.00000000000	35251501.462787
430.00000000000	35792161.922512
435.00000000000	37495258.106772
436.00000000000	37812312.564480
437.00000000000	38162403.629009
438.00000000000	38479776.426100
439.00000000000	38700787.867286
440.00000000000	38806403.060849
441.00000000000	38835915.174509
442.00000000000	38860844.509882
443.00000000000	38940451.708465
444.00000000000	39084344.802054
445.00000000000	39248567.203810
450.00000000000	39089689.505671
455.00000000000	39234973.686048
460.00000000000	38799494.749479
465.00000000000	38789250.215204
470.00000000000	38896479.224581
475.00000000000	38878919.767516
480.00000000000	39596888.267467
485.00000000000	39793659.980165
490.00000000000	40937904.984562
495.00000000000	41402649.585754
500.00000000000	42830073.928619
505.00000000000	43461214.272946
510.00000000000	45021789.408031
515.00000000000	45660847.776412
520.00000000000	47115887.953674
525.00000000000	47528126.943326
526.00000000000	47611055.594969
527.00000000000	47752375.828399
528.00000000000	47940867.329931
529.00000000000	48145757.669356
530.00000000000	48325594.833954
531.00000000000	48441626.151989
532.00000000000	48469046.882868
533.00000000000	48404408.031517
534.00000000000	48267162.502316
535.00000000000	48093865.573516
536.00000000000	47928588.787331
537.00000000000	47811715.886979
538.00000000000	47769843.451773
539.00000000000	47810721.975897
540.00000000000	47923726.298683
541.00000000000	48085178.063916
542.00000000000	48266930.431640
543.00000000000	48445981.456224
544.00000000000	48611582.561876
545.00000000000	48767847.579468
546.00000000000	48932090.678076
547.00000000000	49128819.970910
548.00000000000	49381705.198270
549.00000000000	49704981.708651
550.00000000000	50098128.012476
551.00000000000	50544386.468168
552.00000000000	51013590.473990
553.00000000000	51468795.494426
554.00000000000	51874432.017098
555.00000000000	52204514.158422
556.00000000000	52448311.512179
560.00000000000	52864608.750255
564.00000000000	53381385.231077
565.00000000000	53498545.457923
566.00000000000	53551375.620232
567.00000000000	53513102.136420
568.00000000000	53370448.195228
569.00000000000	53127943.983876
570.00000000000	52808450.739724
571.00000000000	52449951.180869
572.00000000000	52099438.047828
573.00000000000	51804945.223475
574.00000000000	51607609.048672
575.00000000000	51535150.237379
576.00000000000	51598279.043288
577.00000000000	51789946.547826
578.00000000000	52088144.154666
579.00000000000	52460910.640808
580.00000000000	52872635.942777
581.00000000000	53290308.964746
582.00000000000	53688509.165330
583.00000000000	54052311.277166
584.00000000000	54377749.944758
585.00000000000	54670052.461936
586.00000000000	54940183.527023
590.00000000000	55997935.831894
595.00000000000	57023021.638978
600.00000000000	57057415.143545
#Parameters = {m=15}
#"Wavelength / nm"	"Total RCS [pw] (m=15) [Real Part]"
#-----------------------------------------------------
400.00000000000	33571724.352384
401.00000000000	32967140.777899
402.00000000000	32412346.480035
403.00000000000	31817589.169382
404.00000000000	31150991.161116
405.00000000000	30471022.301646
406.00000000000	29882847.617104
407.00000000000	29454795.335883
408.00000000000	29165132.598517
409.00000000000	28923429.571168
410.00000000000	28648098.771761
411.00000000000	28334553.650919
412.00000000000	28057995.683676
413.00000000000	27910039.899355
414.00000000000	27922911.394877
415.00000000000	28043574.822993
416.00000000000	28177425.217243
417.00000000000	28264283.016404
418.00000000000	28324542.690429
419.00000000000	28439669.611997
420.00000000000	28683937.147887
421.00000000000	29062995.512509
422.00000000000	29506955.903546
423.00000000000	29922127.409035
424.00000000000	30259923.451011
425.00000000000	30549506.407362
426.00000000000	30870351.617924
427.00000000000	31287137.808906
428.00000000000	31795814.563652
429.00000000000	32321726.458972
430.00000000000	32770601.385031
435.00000000000	34184357.003774
436.00000000000	34580831.720962
437.00000000000	34913410.752433
438.00000000000	35116348.009381
439.00000000000	35195604.844285
440.00000000000	35224851.653142
441.00000000000	35298758.748702
442.00000000000	35472271.877607
443.00000000000	35727692.680197
444.00000000000	35987011.828126
445.00000000000	36162313.124558
450.00000000000	36226089.083795
455.00000000000	36754123.200027
460.00000000000	37207306.830075
465.00000000000	37415384.472167
470.00000000000	38444153.938833
475.00000000000	38763360.031883
480.00000000000	40078434.728696
485.00000000000	40726313.710779
490.00000000000	42147684.739417
495.00000000000	43047165.221075
500.00000000000	44529842.000703
505.00000000000	45467634.795646
510.00000000000	46970602.412449
515.00000000000	47710491.366195
520.00000000000	49076042.334565
525.00000000000	49323004.468630
526.00000000000	49460863.423668
527.00000000000	49639360.885485
528.00000000000	49825479.093092
529.00000000000	49978753.703891
530.00000000000	50062694.407425
