#
#"Frequency / PHz"	"Eps'' (Fit) [Real]"
#--------------------------------------
0.42431575059891	0.00070670101558790
0.42482009530067	0.00070909963687882
0.42532444000244	0.00071151653537527
0.42573845386505	0.00071351422229782
0.42582881450653	0.00071395194390789
0.42633315920830	0.00071640615351498
0.42683753371239	0.00071887945523486
0.42734187841415	0.00072137219831347
0.42784622311592	0.00072388461558148
0.42835059762001	0.00072641705628484
0.42885494232178	0.00072896981146187
0.42935931682587	0.00073154328856617
0.42957136034966	0.00073263142257929
0.42986366152763	0.00073413772042841
0.43036803603172	0.00073675345629454
0.43087238073349	0.00073939090361819
0.43137672543526	0.00074205041164532
0.43188109993935	0.00074473232962191
0.43238544464111	0.00074743700679392
0.43288981914520	0.00075016485061496
0.43339416384697	0.00075291621033102
0.43343874812126	0.00075316062429920
0.43389850854874	0.00075569160981104
