#Parameters = {h=500}
#"Wavelength / nm"	"Eps' (Fit) (h=500) [Real Part]"
#--------------------------------------------------
597.30942318442	2.0313673019409
597.84560216856	2.0313074588776
598.38274462720	2.0312485694885
598.92085315963	2.0311906337738
599.45993037447	2.0311338901520
600.00001467730	2.0310783386230
600.54103718508	2.0310237407684
601.06608397864	2.0309717655182
601.08303625792	2.0309700965881
601.62601454232	2.0309174060822
602.16997469433	2.0308656692505
602.71491937963	2.0308148860931
603.26088745116	2.0307650566101
603.80780930438	2.0307159423828
604.35572374623	2.0306680202484
604.90463348128	2.0306205749512
605.45454122393	2.0305743217468
606.00544969849	2.0305285453796
606.55736163915	2.0304837226868
606.65503010090	2.0304760932922
607.11031643087	2.0304398536682
607.66424361321	2.0303964614868
608.21918252447	2.0303537845612
608.77513593903	2.0303118228912
609.33210664141	2.0302708148956
609.89009742632	2.0302300453186
610.44911109872	2.0301902294159
611.00918758678	2.0301508903503
611.57025555849	2.0301122665405
612.13235489472	2.0300741195679
612.29599829434	2.0300633907318
612.69548844191	2.0300366878510
613.25965905696	2.0299997329712
613.82486960731	2.0299634933472
614.39116049586	2.0299274921417
614.95845963083	2.0298922061920
615.52680736730	2.0298573970795
616.09620661531	2.0298230648041
616.66666029571	2.0297892093658
617.23817134016	2.0297558307648
617.81074269120	2.0297229290009
617.98935763044	2.0297129154205
618.38441531656	2.0296905040741
618.95911622286	2.0296585559845
619.53488632936	2.0296268463135
620.11172862260	2.0295956134796
620.68964610030	2.0295648574829
621.26864177132	2.0295343399048
621.84875709716	2.0295042991638
622.42991829838	2.0294747352600
623.01216678740	2.0294454097748
623.59550561838	2.0294165611267
623.73570974308	2.0294096469879
624.17993785691	2.0293879508972
624.76546658010	2.0293595790863
625.35209487661	2.0293316841125
625.93986479555	2.0293042659760
626.52870162447	2.0292768478394
627.11864736278	2.0292499065399
627.70970514590	2.0292232036591
628.30187812110	2.0291969776154
628.89516944754	2.0291709899902
629.48962168816	2.0291450023651
629.53547716034	2.0291430950165
630.08515931692	2.0291197299957
630.68182484647	2.0290944576263
631.27962148408	2.0290694236755
631.87855244919	2.0290446281433
632.47862097346	2.0290203094482
633.07983030086	2.0289959907532
633.68222360603	2.0289721488953
634.28572439707	2.0289485454559
634.89037579763	2.0289249420166
635.38916668154	2.0289058685303
635.49618110142	2.0289018154144
636.10314361471	2.0288786888123
636.71126665642	2.0288560390472
637.32059393623	2.0288333892822
637.93104811983	2.0288109779358
638.54267286531	2.0287888050079
639.15547154279	2.0287668704987
639.76944753530	2.0287451744080
640.38460423893	2.0287237167358
641.00094506281	2.0287022590637
641.29725441636	2.0286922454834
641.61851435370	2.0286812782288
642.23723377708	2.0286602973938
642.85714762745	2.0286395549774
643.47825936687	2.0286188125610
644.10057247080	2.0285985469818
644.72409042818	2.0285782814026
645.34881674145	2.0285582542419
645.97479640871	2.0285382270813
646.60195007609	2.0285184383392
647.23032268872	2.0284988880157
647.26030739043	2.0284979343414
647.85991780380	2.0284795761108
648.49073899237	2.0284602642059
649.12278983943	2.0284411907196
649.75611591307	2.0284223556519
650.39063697003	2.0284035205841
651.02639852485	2.0283849239349
651.66340421886	2.0283663272858
652.30165770769	2.0283479690552
652.94116266127	2.0283298492432
