#
#"Frequency / PHz"	"Eps' (Fit) [Real]"
#-------------------------------------
0.42885494232178	2.0290701389313
0.42935931682587	2.0290837287903
0.42957136034966	2.0290892124176
0.42986366152763	2.0290970802307
0.43036803603172	2.0291106700897
0.43087238073349	2.0291242599487
0.43137672543526	2.0291378498077
0.43188109993935	2.0291516780853
0.43238544464111	2.0291655063629
0.43288981914520	2.0291795730591
0.43339416384697	2.0291934013367
0.43343874812126	2.0291948318481
0.43389850854874	2.0292077064514
0.43440288305283	2.0292217731476
0.43490722775459	2.0292360782623
0.43541160225868	2.0292506217957
0.43591594696045	2.0292651653290
0.43642032146454	2.0292797088623
0.43692466616631	2.0292942523956
0.43734097480774	2.0293064117432
0.43742901086807	2.0293090343475
0.43793338537216	2.0293240547180
0.43843773007393	2.0293388366699
0.43894210457802	2.0293540954590
0.43944644927979	2.0293691158295
